what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1488924938648
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1488924938648
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1488924938649
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1488924938650
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1488924938651
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1488924938651
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1488924938652
started,bundle,com.altera.sbtgui.integration,12.1.1.243,"com.altera.sbtgui.integration",1488924938652
started,bundle,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch",1488924938653
started,bundle,com.altera.sbtgui.project,12.1.1.243,"com.altera.sbtgui.project",1488924938653
started,bundle,com.altera.systemconsole,12.1.1.243,"com.altera.systemconsole",1488924938654
started,bundle,com.altera.systemconsole.designs.plugin,12.1.1.243,"com.altera.systemconsole.designs.plugin",1488924938654
started,bundle,com.altera.systemconsole.scripting,12.1.1.243,"com.altera.systemconsole.scripting",1488924938654
started,bundle,com.altera.utilities,12.1.1.243,"com.altera.utilities",1488924938654
os,sysinfo,,,"win32",1488924938657
arch,sysinfo,,,"x86",1488924938657
ws,sysinfo,,,"win32",1488924938657
locale,sysinfo,,,"es_ES",1488924938657
processors,sysinfo,,,"8",1488924938657
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1488924938657
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1488924938657
java.specification.name,sysinfo,,,"Java Platform API Specification",1488924938657
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1488924938657
java.specification.version,sysinfo,,,"1.6",1488924938657
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1488924938657
java.version,sysinfo,,,"1.6.0_23",1488924938657
java.vm.info,sysinfo,,,"mixed mode",1488924938657
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1488924938657
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1488924938657
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1488924938657
java.vm.specification.version,sysinfo,,,"1.0",1488924938657
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1488924938657
java.vm.version,sysinfo,,,"19.0-b09",1488924938657
started,bundle,com.altera.sbtgui.core,12.1.1.243,"com.altera.sbtgui.core",1488924943820
started,bundle,com.altera.sbtgui.flash.plugin,12.1.1.243,"com.altera.sbtgui.flash.plugin",1488924945662
