time 		pos x 		pos y 		angle 		
0.0 		1198.43 		806.23 		2.83 		
0.02 		1197.73 		806.22 		2.83 		
0.04 		1197.01 		807.62 		2.86 		
0.06 		1198.43 		806.23 		2.83 		
0.08 		1171.58 		827.03 		-1.17 		
0.1 		1171.58 		827.03 		-1.17 		
0.12 		1197.73 		806.22 		2.83 		
0.14 		1197.01 		807.62 		2.86 		
0.16 		1197.73 		806.22 		2.83 		
0.18 		1196.31 		807.62 		2.86 		
0.2 		1196.31 		807.62 		2.86 		
0.22 		1197.01 		807.62 		2.86 		
0.24 		1197.73 		806.22 		2.83 		
0.26 		1196.31 		807.62 		2.85 		
0.28 		1196.31 		807.62 		2.85 		
0.3 		1196.31 		807.62 		2.86 		
0.32 		1172.26 		829.13 		-2.5 		
0.34 		1174.36 		829.14 		-2.05 		
0.36 		1197.73 		806.22 		2.84 		
0.38 		1197.73 		806.22 		2.84 		
0.4 		1195.6 		807.61 		2.86 		
0.42 		1196.31 		807.62 		2.86 		
0.44 		1197.73 		806.22 		2.83 		
0.46 		1196.31 		807.62 		2.86 		
0.48 		1196.31 		807.62 		2.86 		
0.5 		1196.31 		807.62 		2.86 		
0.52 		1174.36 		829.14 		-2.44 		
0.54 		1197.73 		806.22 		2.84 		
0.56 		1197.73 		806.22 		2.84 		
0.58 		1197.73 		806.22 		2.84 		
0.6 		1197.73 		806.22 		2.84 		
0.62 		1197.73 		806.22 		2.84 		
0.64 		1174.36 		829.14 		-2.29 		
0.66 		1174.36 		829.14 		-2.29 		
0.68 		1197.02 		806.22 		2.83 		
0.7 		1173.66 		829.14 		-2.3 		
0.72 		1173.66 		829.14 		-2.3 		
0.74 		1173.66 		829.14 		-2.3 		
0.76 		1197.73 		806.22 		2.83 		
0.78 		1197.73 		806.22 		2.83 		
0.8 		1172.26 		829.13 		-2.48 		
0.82 		1196.31 		807.62 		2.85 		
0.84 		1196.31 		807.62 		2.85 		
0.86 		1197.01 		807.62 		2.85 		
0.88 		1197.73 		806.22 		2.84 		
0.9 		1197.73 		806.22 		2.83 		
0.92 		1197.73 		806.22 		2.83 		
0.94 		1197.73 		806.22 		2.83 		
0.96 		1196.31 		807.62 		2.86 		
0.98 		1170.88 		827.03 		-1.14 		
1.0 		1197.01 		807.62 		2.86 		
1.02 		1177.16 		829.16 		-2.54 		
1.04 		1177.16 		829.16 		-2.54 		
1.06 		1177.16 		829.16 		-2.54 		
1.08 		1177.16 		829.16 		-2.54 		
1.11 		1171.56 		828.43 		-1.01 		
1.13 		1197.73 		806.22 		2.83 		
1.14 		1197.73 		806.22 		2.83 		
1.16 		1197.73 		806.22 		2.83 		
1.18 		1196.31 		807.62 		2.86 		
1.2 		1197.01 		807.62 		2.85 		
1.22 		1197.01 		807.62 		2.85 		
1.24 		1198.43 		806.23 		2.21 		
1.26 		1197.73 		806.22 		2.84 		
1.28 		1198.43 		806.23 		2.85 		
1.3 		1196.31 		807.62 		2.85 		
1.32 		1196.31 		807.62 		2.85 		
1.34 		1197.73 		806.22 		2.76 		
1.36 		1197.73 		806.22 		2.83 		
1.38 		1170.88 		827.03 		-1.27 		
1.4 		1196.31 		807.62 		2.85 		
1.42 		1196.31 		807.62 		2.85 		
1.44 		1195.6 		807.61 		2.86 		
1.46 		1195.6 		807.61 		2.86 		
1.48 		1195.6 		807.61 		2.86 		
1.5 		1196.31 		807.62 		2.86 		
1.52 		1196.31 		807.62 		2.86 		
1.54 		1197.73 		806.22 		2.83 		
1.56 		1197.73 		806.22 		2.83 		
1.58 		1197.73 		806.22 		2.83 		
1.6 		1197.72 		806.92 		2.86 		
1.62 		1197.73 		806.22 		2.83 		
1.64 		1197.73 		806.22 		2.83 		
1.66 		1196.31 		807.62 		2.36 		
1.68 		1173.66 		829.14 		-2.56 		
1.7 		1173.66 		829.14 		-2.56 		
1.72 		1197.73 		806.22 		2.83 		
1.74 		1197.73 		806.22 		2.83 		
1.76 		1197.73 		806.22 		2.83 		
1.78 		1197.73 		806.22 		2.84 		
1.8 		1197.73 		806.22 		2.84 		
1.82 		1196.31 		807.62 		2.85 		
1.84 		1196.31 		807.62 		2.85 		
1.86 		1196.31 		807.62 		2.85 		
1.88 		1174.36 		829.14 		-2.54 		
1.91 		1196.31 		807.62 		2.85 		
1.93 		1196.31 		807.62 		2.85 		
1.95 		1198.43 		806.23 		2.83 		
1.97 		1197.73 		806.22 		2.84 		
1.99 		1197.73 		806.22 		2.84 		
2.0 		1197.73 		806.22 		2.84 		
2.02 		1197.73 		806.22 		2.28 		
2.04 		1196.31 		807.62 		2.3 		
2.06 		1196.31 		807.62 		2.3 		
2.08 		1172.96 		829.14 		-2.59 		
2.1 		1197.02 		806.22 		2.83 		
2.12 		1198.43 		806.23 		2.85 		
2.15 		1196.31 		807.62 		2.85 		
2.16 		1196.31 		807.62 		2.85 		
2.18 		1175.06 		829.15 		-2.55 		
2.2 		1198.43 		806.23 		2.85 		
2.23 		1197.02 		806.22 		2.83 		
2.25 		1174.36 		829.14 		-2.5 		
2.26 		1174.36 		829.14 		-2.5 		
2.29 		1174.36 		829.14 		-2.29 		
2.31 		1172.98 		827.04 		-1.4 		
2.33 		1196.31 		807.62 		2.86 		
2.34 		1196.31 		807.62 		2.86 		
2.37 		1196.31 		807.62 		2.82 		
2.38 		1197.73 		806.22 		2.83 		
2.41 		1173.66 		829.14 		-2.3 		
2.43 		1196.31 		807.62 		2.86 		
2.45 		1196.31 		807.62 		2.86 		
2.47 		1197.73 		806.22 		2.83 		
2.49 		1197.73 		806.22 		2.83 		
2.51 		1197.02 		806.22 		2.84 		
2.53 		1196.31 		807.62 		2.27 		
2.55 		1196.31 		807.62 		2.27 		
2.57 		1198.43 		806.23 		2.85 		
2.59 		1197.73 		806.22 		2.83 		
2.61 		1197.73 		806.22 		2.27 		
2.63 		1175.76 		829.15 		-2.63 		
2.65 		1175.76 		829.15 		-2.63 		
2.67 		1196.31 		807.62 		2.85 		
2.69 		1160.74 		864.65 		-2.2 		
2.71 		1195.6 		807.61 		2.84 		
2.73 		1195.6 		807.61 		2.84 		
2.75 		1160.09 		859.07 		-2.19 		
2.77 		1197.73 		806.22 		2.19 		
2.79 		1164.07 		803.92 		1.29 		
2.81 		1198.43 		806.23 		2.83 		
2.83 		1198.43 		806.23 		2.83 		
2.85 		1197.73 		806.22 		2.28 		
2.87 		1198.43 		806.23 		2.22 		
2.89 		1197.73 		806.22 		2.83 		
2.91 		1197.73 		806.22 		2.84 		
2.93 		1197.73 		806.22 		2.84 		
2.95 		1197.73 		806.22 		2.84 		
2.97 		1197.73 		806.22 		2.8 		
2.99 		1198.43 		806.23 		2.33 		
3.01 		1198.43 		806.23 		2.33 		
3.03 		1196.31 		807.62 		2.86 		
3.05 		1197.02 		806.22 		2.84 		
3.07 		1196.31 		807.62 		-2.97 		
3.09 		1173.66 		829.14 		-2.07 		
3.11 		1173.66 		829.14 		-2.07 		
3.13 		1172.98 		827.04 		-1.08 		
3.15 		1197.73 		806.22 		2.83 		
3.17 		1195.6 		807.61 		2.84 		
3.19 		1196.31 		807.62 		2.85 		
3.21 		1196.31 		807.62 		2.85 		
3.23 		1197.73 		806.22 		2.83 		
3.25 		1197.73 		806.22 		2.84 		
3.27 		1198.43 		806.23 		2.83 		
3.29 		1198.43 		806.23 		2.83 		
3.31 		1196.31 		807.62 		2.86 		
3.33 		1172.98 		827.04 		-1.17 		
3.35 		1197.73 		806.22 		2.82 		
3.37 		1197.02 		806.22 		2.38 		
3.39 		1197.02 		806.22 		2.38 		
3.41 		1197.73 		806.22 		2.83 		
