#    time	    pos x	    pos y	    angle	 difftime	 diffposx	 diffposy	 diffangl
     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00
     0.02	  -644.37	   779.40	    -0.88	     0.02	  -644.37	   779.40	    -0.88
     0.02	  -644.37	   779.40	    -0.88	     0.01	     0.00	     0.00	     0.00
     0.04	  -645.75	   779.39	    -0.86	     0.02	    -1.38	    -0.01	     0.02
     0.06	  -645.75	   779.39	    -0.86	     0.02	    -0.00	    -0.00	     0.00
     0.08	  -645.75	   779.39	    -0.86	     0.02	     0.00	     0.00	    -0.00
     0.10	  -645.75	   779.39	    -0.86	     0.02	     0.00	     0.00	     0.00
     0.12	  -644.37	   779.40	    -0.88	     0.02	     1.38	     0.01	    -0.02
     0.14	  -645.75	   779.39	    -0.86	     0.02	    -1.38	    -0.01	     0.02
     0.16	  -644.37	   779.40	    -0.88	     0.02	     1.38	     0.01	    -0.02
     0.19	  -645.75	   779.39	    -0.86	     0.02	    -1.38	    -0.01	     0.02
     0.20	  -645.75	   779.39	    -0.86	     0.02	     0.00	     0.00	     0.00
     0.22	  -645.75	   779.39	    -0.86	     0.02	     0.00	     0.00	     0.00
     0.24	  -645.75	   779.39	    -0.86	     0.02	     0.00	     0.00	     0.00
     0.26	  -645.75	   779.39	    -0.86	     0.02	     0.00	     0.00	     0.00
     0.28	  -645.75	   779.39	    -0.86	     0.02	     0.00	     0.00	     0.00
     0.30	  -644.37	   779.40	    -0.92	     0.02	     1.38	     0.01	    -0.06
     0.32	  -645.75	   779.39	    -0.86	     0.02	    -1.38	    -0.01	     0.06
     0.34	  -644.37	   779.40	    -0.88	     0.02	     1.38	     0.01	    -0.02
     0.36	  -645.75	   779.39	    -0.86	     0.02	    -1.38	    -0.01	     0.02
     0.38	  -645.75	   779.39	    -0.86	     0.02	     0.00	     0.00	     0.00
     0.40	  -644.37	   779.40	    -0.88	     0.02	     1.38	     0.01	    -0.02
     0.42	  -645.75	   779.39	    -0.86	     0.02	    -1.38	    -0.01	     0.02
     0.44	  -645.75	   779.39	    -0.86	     0.02	     0.00	     0.00	     0.00
     0.46	  -645.75	   779.39	    -0.86	     0.02	     0.00	     0.00	     0.00
     0.48	  -645.75	   779.39	    -0.86	     0.02	    -0.00	    -0.00	     0.00
     0.50	  -644.37	   779.40	    -0.88	     0.02	     1.38	     0.01	    -0.02
     0.52	  -644.37	   779.40	    -0.88	     0.02	     0.00	     0.00	     0.00
     0.54	  -645.75	   779.39	    -0.86	     0.02	    -1.38	    -0.01	     0.02
     0.56	  -645.75	   779.39	    -0.86	     0.02	     0.00	     0.00	     0.00
     0.58	  -644.37	   779.40	    -0.88	     0.02	     1.38	     0.01	    -0.02
     0.60	  -647.13	   779.38	    -0.84	     0.02	    -2.76	    -0.02	     0.03
     0.62	  -645.75	   779.39	    -0.86	     0.02	     1.38	     0.01	    -0.02
     0.64	  -645.75	   779.39	    -0.90	     0.02	     0.00	     0.00	    -0.04
     0.66	  -645.75	   779.39	    -0.90	     0.02	     0.00	     0.00	     0.00
     0.68	  -644.37	   779.40	    -0.88	     0.02	     1.38	     0.01	     0.03
     0.70	  -645.75	   779.39	    -0.86	     0.02	    -1.38	    -0.01	     0.02
     0.73	  -647.13	   779.38	    -0.84	     0.02	    -1.38	    -0.01	     0.02
     0.74	  -647.13	   779.38	    -0.84	     0.02	     0.00	     0.00	     0.00
     0.76	  -644.37	   779.40	    -0.88	     0.02	     2.76	     0.02	    -0.03
