     time	    pos x	    pos y	    angle	 difftime	 diffposx	 diffposy	 diffangl	 difflong	 relspeed	
     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00
    17.84	  -681.42	   503.18	    -0.03	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00
    21.92	  -681.42	   503.18	    -0.03	     4.08	     0.00	     0.00	     0.00	    -0.00	    -0.00
    42.23	  -681.42	   503.18	    -0.03	    20.31	     0.00	     0.00	    -0.00	    -0.00	    -0.00
    62.99	  -681.42	   503.18	    -0.03	    20.76	     0.00	     0.00	     0.00	    -0.00	    -0.00
    83.53	  -681.42	   503.18	    -0.03	    20.54	     0.00	     0.00	     0.00	    -0.00	    -0.00
   101.87	  -681.42	   503.18	    -0.03	    18.34	     0.00	     0.00	     0.00	    -0.00	    -0.00
   123.53	  -681.42	   503.18	    -0.03	    21.66	     0.00	     0.00	     0.00	    -0.00	    -0.00
   144.09	  -681.42	   503.18	    -0.03	    20.56	     0.00	     0.00	     0.00	    -0.00	    -0.00
   163.92	  -682.80	   503.18	    -0.03	    19.83	    -1.37	    -0.01	    -0.00	    -1.37	    -0.07
   184.93	  -682.80	   503.18	    -0.03	    21.01	     0.00	     0.00	     0.00	    -0.00	    -0.00
   203.23	  -681.44	   504.57	    -0.05	    18.30	     1.36	     1.39	    -0.02	     1.94	     0.11
   224.28	  -681.44	   504.57	    -0.05	    21.05	     0.00	     0.00	     0.00	    -0.00	    -0.00
   245.31	  -681.42	   503.18	    -0.03	    21.03	     0.02	    -1.39	     0.02	     1.39	     0.07
   264.69	  -681.44	   504.57	    -0.05	    19.38	    -0.02	     1.39	    -0.02	    -1.39	    -0.07
   283.23	  -681.44	   504.57	    -0.05	    18.54	     0.00	     0.00	     0.00	    -0.00	    -0.00
   303.15	  -681.44	   504.57	    -0.05	    19.92	     0.00	     0.00	     0.00	    -0.00	    -0.00
   323.37	  -681.42	   503.18	    -0.03	    20.22	     0.02	    -1.39	     0.02	     1.39	     0.07
   343.23	  -681.44	   504.57	    -0.05	    19.86	    -0.02	     1.39	    -0.02	    -1.39	    -0.07
   364.15	  -681.42	   503.18	    -0.03	    20.92	     0.02	    -1.39	     0.02	     1.39	     0.07
   383.34	  -681.42	   503.18	    -0.03	    19.19	     0.00	     0.00	     0.00	    -0.00	    -0.00
   403.34	  -682.80	   503.18	    -0.03	    19.99	    -1.37	    -0.01	     0.00	    -1.37	    -0.07
   425.64	  -681.42	   503.18	    -0.03	    22.30	     1.37	     0.01	    -0.00	     1.37	     0.06
   445.56	  -682.80	   503.18	    -0.03	    19.92	    -1.37	    -0.01	     0.00	    -1.37	    -0.07
   465.31	  -682.80	   503.18	    -0.03	    19.75	     0.00	     0.00	     0.00	    -0.00	    -0.00
   483.44	  -682.80	   503.18	    -0.03	    18.13	     0.00	     0.00	     0.00	    -0.00	    -0.00
   503.47	  -681.44	   504.57	    -0.05	    20.04	     1.36	     1.39	    -0.03	     1.94	     0.10
   524.60	  -681.42	   503.18	    -0.03	    21.13	     0.02	    -1.39	     0.02	     1.39	     0.07
   544.78	  -681.42	   503.18	    -0.03	    20.19	     0.00	     0.00	     0.00	    -0.00	    -0.00
   563.84	  -681.42	   503.18	    -0.03	    19.05	     0.00	     0.00	     0.00	    -0.00	    -0.00
   583.98	  -681.42	   503.18	    -0.03	    20.15	     0.00	     0.00	     0.00	    -0.00	    -0.00
   603.93	  -681.42	   503.18	    -0.03	    19.95	     0.00	     0.00	    -0.00	    -0.00	    -0.00
   624.33	  -681.44	   504.57	    -0.05	    20.40	    -0.02	     1.39	    -0.02	    -1.39	    -0.07
   645.09	  -681.42	   503.18	    -0.03	    20.75	     0.02	    -1.39	     0.02	     1.39	     0.07
   663.92	  -681.42	   503.18	    -0.03	    18.84	     0.00	     0.00	     0.00	    -0.00	    -0.00
   683.83	  -682.80	   503.18	    -0.03	    19.90	    -1.37	    -0.01	     0.00	    -1.37	    -0.07
   704.28	  -681.44	   504.57	    -0.05	    20.45	     1.36	     1.39	    -0.02	     1.94	     0.09
   724.00	  -681.44	   504.57	    -0.05	    19.72	     0.00	     0.00	     0.00	    -0.00	    -0.00
   745.37	  -681.42	   503.18	    -0.03	    21.37	     0.02	    -1.39	     0.02	     1.39	     0.06
   763.91	  -681.42	   503.18	    -0.03	    18.54	     0.00	     0.00	     0.00	    -0.00	    -0.00
   783.88	  -681.42	   503.18	    -0.03	    19.97	     0.00	     0.00	     0.00	    -0.00	    -0.00
     0.00	     0.00	     0.00	     0.00	   766.04	     0.00	     0.00	     0.00	     5.86	     0.27
