     Time	    Pos x	    Pos y	    Angle	Diff Time	Diff Posx	Diff Posy	Diff Angl	Diff Long	Rel Speed	Rel AnSpd	
     0.00	 -1350.06	  -534.81	     0.03	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00
    19.96	 -1347.27	  -534.77	     0.00	    19.96	     2.78	     0.04	    -0.02	     2.78	   139.42	    -1.13
    39.84	 -1344.49	  -534.73	     0.00	    19.88	     2.78	     0.04	     0.00	     2.78	   139.93	     0.00
    59.94	 -1336.84	  -534.62	     0.00	    20.09	     7.65	     0.11	    -0.00	     7.65	   380.75	    -0.03
    81.33	 -1333.36	  -534.57	     0.34	    21.39	     3.48	     0.05	     0.34	     3.48	   162.55	    15.90
    99.91	 -1333.36	  -534.57	     0.34	    18.58	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00
   120.95	 -1325.04	  -533.03	     0.00	    21.04	     8.32	     1.53	    -0.34	     8.46	   402.17	   -16.17
   141.23	 -1319.46	  -534.36	     0.03	    20.27	     5.58	    -1.33	     0.02	     5.74	   283.19	     1.16
   161.14	 -1319.46	  -534.36	     0.03	    19.91	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00
   179.48	 -1319.46	  -534.36	     0.03	    18.34	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00
   199.96	 -1304.16	  -534.14	     0.00	    20.48	    15.29	     0.22	    -0.02	    15.30	   746.83	    -1.11
   219.97	 -1294.43	  -534.00	     0.03	    20.01	     9.73	     0.14	     0.02	     9.73	   486.41	     1.15
   240.37	 -1286.09	  -533.88	     0.03	    20.40	     8.34	     0.12	    -0.00	     8.34	   408.84	    -0.03
   260.43	 -1286.09	  -533.88	     0.03	    20.06	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00
   279.48	 -1286.09	  -533.88	     0.03	    19.06	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00
   299.95	 -1266.62	  -534.31	     0.04	    20.47	    19.47	    -0.42	     0.01	    19.47	   951.51	     0.55
   320.18	 -1258.30	  -533.48	     0.03	    20.23	     8.33	     0.83	    -0.01	     8.37	   413.57	    -0.56
   340.08	 -1247.16	  -534.73	     0.05	    19.90	    11.14	    -1.25	     0.02	    11.21	   563.43	     1.21
   361.02	 -1237.35	  -539.52	     0.10	    20.94	     9.81	    -4.79	     0.05	    10.92	   521.24	     2.51
   380.12	 -1237.35	  -539.52	     0.10	    19.09	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00
   401.23	 -1224.24	  -533.69	     0.04	    21.11	    13.10	     5.83	    -0.06	    14.34	   679.33	    -3.04
   419.73	 -1224.24	  -533.69	     0.04	    18.50	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00
   441.46	 -1224.24	  -533.69	     0.04	    21.73	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00
   461.85	 -1202.71	  -533.38	     0.04	    20.39	    21.53	     0.31	    -0.00	    21.54	  1056.47	    -0.01
   479.73	 -1202.71	  -533.38	     0.04	    17.88	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00
   499.74	 -1202.71	  -533.38	     0.04	    20.02	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00
   521.26	 -1202.71	  -533.38	     0.04	    21.52	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00
   540.14	 -1202.71	  -533.38	     0.04	    18.88	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00
   560.11	 -1158.24	  -533.44	     0.10	    19.97	    44.47	    -0.06	     0.06	    44.47	  2226.48	     2.95
   580.19	 -1147.16	  -531.16	     0.06	    20.08	    11.08	     2.28	    -0.04	    11.31	   563.23	    -1.76
   600.19	 -1136.76	  -530.30	     0.05	    20.01	    10.41	     0.86	    -0.01	    10.44	   521.94	    -0.61
   621.62	 -1124.95	  -530.13	     0.05	    21.43	    11.81	     0.17	    -0.00	    11.81	   551.13	    -0.02
