time 		pos x 		pos y 		angle 		
0.0 		-518.46 		-479.88 		0.0 		
0.02 		-520.58 		-479.91 		0.03 		
0.04 		-520.58 		-479.91 		0.03 		
0.06 		-520.58 		-479.91 		0.03 		
0.08 		-520.58 		-479.91 		0.03 		
0.1 		-520.58 		-479.91 		0.03 		
0.12 		-520.46 		-486.31 		0.08 		
0.14 		-520.46 		-486.31 		0.08 		
0.16 		-520.46 		-486.31 		0.08 		
0.18 		-520.49 		-484.88 		0.06 		
0.2 		-520.49 		-484.88 		0.06 		
0.22 		-520.55 		-481.33 		0.0 		
0.25 		-521.28 		-479.93 		-0.04 		
0.27 		-519.16 		-479.89 		0.0 		
0.28 		-519.16 		-479.89 		0.0 		
0.3 		-520.58 		-479.91 		-0.02 		
0.32 		-518.46 		-479.88 		0.03 		
0.34 		-520.45 		-487.02 		0.14 		
0.36 		-520.45 		-487.02 		0.14 		
0.38 		-520.45 		-487.02 		0.14 		
0.4 		-520.45 		-487.02 		0.14 		
0.43 		-519.79 		-484.16 		0.05 		
0.44 		-519.79 		-484.16 		0.05 		
0.46 		-519.79 		-484.16 		0.05 		
0.48 		-520.46 		-486.31 		0.13 		
0.51 		-519.16 		-479.89 		0.0 		
0.53 		-519.16 		-479.89 		0.0 		
0.54 		-519.16 		-479.89 		0.0 		
0.56 		-518.46 		-479.88 		0.03 		
0.58 		-518.46 		-479.88 		0.03 		
0.6 		-518.46 		-479.88 		0.03 		
0.62 		-518.46 		-479.88 		0.03 		
0.64 		-518.46 		-479.88 		0.03 		
0.66 		-520.49 		-484.88 		0.06 		
0.68 		-519.16 		-479.89 		0.0 		
0.7 		-519.16 		-479.89 		0.0 		
0.72 		-519.16 		-479.89 		0.0 		
0.74 		-519.16 		-479.89 		0.0 		
0.76 		-519.16 		-479.89 		0.0 		
0.79 		-519.15 		-480.6 		0.04 		
0.8 		-519.15 		-480.6 		0.04 		
0.82 		-519.15 		-480.6 		0.04 		
0.84 		-519.16 		-479.89 		0.03 		
0.86 		-519.16 		-479.89 		0.03 		
0.88 		-519.16 		-479.89 		0.03 		
0.9 		-519.16 		-479.89 		0.03 		
0.93 		-520.54 		-482.05 		0.02 		
0.95 		-520.54 		-482.05 		0.02 		
0.96 		-520.54 		-482.05 		0.02 		
0.99 		-520.45 		-487.02 		0.14 		
1.0 		-520.45 		-487.02 		0.14 		
1.02 		-520.45 		-487.02 		0.14 		
1.04 		-520.45 		-487.02 		0.14 		
1.06 		-520.45 		-487.02 		0.14 		
1.09 		-520.45 		-487.02 		0.14 		
1.11 		-520.45 		-487.02 		0.14 		
1.13 		-519.14 		-481.31 		0.05 		
1.14 		-519.14 		-481.31 		0.05 		
1.17 		-519.14 		-481.31 		0.05 		
1.19 		-519.16 		-479.89 		0.03 		
1.21 		-519.16 		-479.89 		0.03 		
1.23 		-520.45 		-487.02 		0.14 		
1.25 		-519.77 		-485.58 		0.07 		
1.27 		-520.58 		-479.91 		0.03 		
1.29 		-519.87 		-479.9 		0.03 		
1.31 		-519.87 		-479.9 		0.03 		
1.33 		-519.87 		-479.9 		0.03 		
1.35 		-519.87 		-479.9 		0.03 		
1.37 		-519.15 		-480.6 		-0.01 		
1.39 		-519.15 		-480.6 		-0.01 		
1.41 		-519.15 		-480.6 		-0.01 		
1.43 		-520.46 		-486.31 		0.11 		
1.45 		-520.49 		-484.88 		0.11 		
1.47 		-520.49 		-484.88 		0.11 		
1.49 		-520.49 		-484.88 		0.11 		
1.51 		-520.49 		-484.88 		0.11 		
1.53 		-520.49 		-484.88 		0.11 		
1.55 		-520.49 		-484.88 		0.11 		
1.57 		-520.49 		-484.88 		0.11 		
1.59 		-519.16 		-479.89 		-0.02 		
1.61 		-519.16 		-479.89 		-0.02 		
1.63 		-519.16 		-479.89 		-0.02 		
1.66 		-520.41 		-489.15 		0.13 		
1.67 		-519.87 		-479.9 		0.0 		
1.7 		-520.42 		-488.44 		0.16 		
1.71 		-520.42 		-488.44 		0.16 		
1.73 		-520.42 		-488.44 		0.16 		
1.75 		-520.42 		-488.44 		0.16 		
1.77 		-520.5 		-484.18 		0.1 		
1.79 		-520.5 		-484.18 		0.1 		
1.81 		-520.5 		-484.18 		0.1 		
1.83 		-518.46 		-479.88 		0.03 		
1.85 		-518.46 		-479.88 		0.03 		
1.87 		-518.46 		-479.88 		0.03 		
1.89 		-518.46 		-479.88 		0.03 		
1.91 		-518.46 		-479.88 		0.03 		
1.93 		-520.51 		-483.46 		0.04 		
