     time	    pos x	    pos y	    angle	 difftime	 diffposx	 diffposy	 diffangl	 difflong	 relspeed	
    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000
    0.000	   91.447	  790.284	    0.653	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000
   20.415	   90.034	  790.973	    0.559	   20.415	   -1.413	    0.690	   -0.094	   -1.572	  -77.008
   41.534	  202.341	  808.997	    3.059	   21.119	  112.307	   18.024	    2.500	  113.744	 5385.890
   60.939	  202.341	  808.997	    3.059	   19.405	    0.000	    0.000	    0.000	   -0.000	   -0.000
   78.157	  202.341	  808.997	    3.059	   17.218	    0.000	    0.000	    0.000	   -0.000	   -0.000
   98.058	  202.341	  808.997	    3.059	   19.901	    0.000	    0.000	    0.000	   -0.000	   -0.000
  118.518	  202.341	  808.997	    3.059	   20.460	    0.000	    0.000	    0.000	   -0.000	   -0.000
  138.809	  202.341	  808.997	    3.059	   20.291	    0.000	    0.000	    0.000	   -0.000	   -0.000
  158.261	  202.341	  808.997	    3.059	   19.452	    0.000	    0.000	    0.000	   -0.000	   -0.000
  178.786	  202.341	  808.997	    3.059	   20.525	    0.000	    0.000	    0.000	   -0.000	   -0.000
  200.857	   91.456	  788.189	    0.702	   22.071	 -110.885	  -20.808	   -2.358	 -112.820	-5111.725
  219.862	   91.456	  788.189	    0.702	   19.005	    0.000	    0.000	    0.000	   -0.000	   -0.000
  240.923	   91.456	  788.189	    0.702	   21.061	    0.000	    0.000	    0.000	   -0.000	   -0.000
  261.103	  141.021	  844.239	   -1.195	   20.180	   49.564	   56.050	   -1.897	   74.821	 3707.678
  280.863	  190.579	  780.349	    2.833	   19.760	   49.558	  -63.890	    4.028	   80.858	 4091.958
  302.389	  104.669	  819.664	   -1.702	   21.526	  -85.910	   39.316	   -4.535	  -94.479	-4389.099
  322.335	  105.364	  821.063	   -1.658	   19.946	    0.695	    1.399	    0.044	    1.562	   78.303
  342.195	  105.364	  821.063	   -1.658	   19.860	    0.000	    0.000	    0.000	   -0.000	   -0.000
  359.900	  105.364	  821.063	   -1.658	   17.705	    0.000	    0.000	    0.000	   -0.000	   -0.000
  380.872	  103.262	  819.656	   -0.799	   20.972	   -2.102	   -1.406	    0.859	   -2.529	 -120.593
  402.248	  202.311	  813.875	    3.123	   21.376	   99.049	   -5.781	    3.923	   99.218	 4641.582
  423.394	  202.311	  813.875	    3.123	   21.146	    0.000	    0.000	    0.000	   -0.000	   -0.000
  439.826	  202.311	  813.875	    3.123	   16.432	    0.000	    0.000	    0.000	   -0.000	   -0.000
  459.700	  202.311	  813.875	    3.123	   19.874	    0.000	    0.000	    0.000	   -0.000	   -0.000
  480.955	  104.676	  818.268	   -1.651	   21.255	  -97.635	    4.393	   -4.774	  -97.734	-4598.168
  501.274	   91.439	  791.679	    0.171	   20.319	  -13.237	  -26.589	    1.822	  -29.702	-1461.786
  521.435	  104.672	  818.966	   -1.650	   20.161	   13.233	   27.287	   -1.821	   30.327	 1504.217
  541.044	  104.672	  818.966	   -1.650	   19.609	    0.000	    0.000	    0.000	   -0.000	   -0.000
  561.230	  104.676	  818.268	   -1.655	   20.186	    0.004	   -0.698	   -0.005	    0.698	   34.576
  581.959	  104.668	  819.663	   -1.653	   20.729	   -0.008	    1.395	    0.002	   -1.395	  -67.302
  600.864	  104.668	  819.663	   -1.653	   18.905	    0.000	    0.000	    0.000	   -0.000	   -0.000
  619.899	  104.668	  819.663	   -1.653	   19.035	    0.000	    0.000	    0.000	   -0.000	   -0.000
  641.165	  192.103	  758.750	    2.658	   21.266	   87.435	  -60.913	    4.311	  106.561	 5010.887
  661.517	  104.668	  819.663	   -1.653	   20.352	  -87.435	   60.913	   -4.311	 -106.561	-5235.940
  681.657	  104.668	  819.663	   -1.649	   20.140	    0.000	    0.000	    0.004	   -0.000	   -0.000
  702.904	  104.668	  819.663	   -1.649	   21.247	    0.000	    0.000	    0.000	   -0.000	   -0.000
  723.687	  104.668	  819.663	   -1.649	   20.783	    0.000	    0.000	    0.000	   -0.000	   -0.000
  741.718	  104.668	  819.663	   -1.649	   18.031	    0.000	    0.000	    0.000	   -0.000	   -0.000
  763.015	  104.668	  819.663	   -1.653	   21.297	    0.000	    0.000	   -0.004	   -0.000	   -0.000
  783.402	   91.450	  789.585	    0.655	   20.387	  -13.218	  -30.078	    2.308	  -32.854	-1611.540
  803.304	  143.838	  842.161	   -1.165	   19.902	   52.388	   52.576	   -1.820	   74.221	 3729.300
  825.170	  104.676	  818.268	   -1.705	   21.866	  -39.162	  -23.893	   -0.540	  -45.875	-2098.005
  842.806	  104.676	  818.268	   -1.705	   17.636	    0.000	    0.000	    0.000	   -0.000	   -0.000
  864.033	  104.661	  821.059	   -1.699	   21.227	   -0.015	    2.791	    0.007	   -2.791	 -131.483
    0.000	    0.000	    0.000	    0.000	  864.033	   13.214	   30.776	   -2.352	   53.696	 3281.745
