     Time	    Pos x	    Pos y	    Angle	Diff Time	Diff Posx	Diff Posy	Diff Angl	Diff Long	Rel Speed	Rel AnSpd	
    0.000	-1741.925	  313.505	    0.027	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000
   13.205	-1740.535	  313.526	   -0.021	   13.205	    1.390	    0.021	   -0.047	    1.391	  105.303	   -3.592
   30.413	-1740.535	  313.526	   -0.021	   17.208	    0.000	    0.000	    0.000	   -0.000	   -0.000	    0.000
   50.338	-1740.535	  313.526	   -0.021	   19.925	    0.000	    0.000	    0.000	   -0.000	   -0.000	    0.000
   72.580	-1741.925	  313.505	    0.027	   22.242	   -1.390	   -0.021	    0.048	   -1.391	  -62.518	    2.159
   91.573	-1741.925	  313.505	    0.027	   18.993	    0.000	    0.000	    0.000	   -0.000	   -0.000	    0.000
  112.742	-1741.925	  313.505	   -0.020	   21.169	    0.000	    0.000	   -0.047	   -0.000	   -0.000	   -2.229
  132.518	-1740.535	  313.526	   -0.021	   19.776	    1.390	    0.021	   -0.001	    1.391	   70.314	   -0.042
  152.586	-1741.925	  313.505	   -0.020	   20.068	   -1.390	   -0.021	    0.001	   -1.391	  -69.292	    0.041
  173.998	-1741.925	  313.505	   -0.020	   21.412	    0.000	    0.000	    0.000	   -0.000	   -0.000	    0.000
  192.300	-1741.925	  313.505	   -0.020	   18.302	    0.000	    0.000	    0.000	   -0.000	   -0.000	    0.000
  213.399	-1711.948	  302.814	    2.249	   21.099	   29.977	  -10.690	    2.269	   31.826	 1508.421	  107.536
  235.283	-1741.925	  313.505	    0.027	   21.884	  -29.977	   10.690	   -2.222	  -31.826	-1454.290	 -101.521
  255.510	-1741.925	  313.505	    0.027	   20.227	    0.000	    0.000	   -0.001	   -0.000	   -0.000	   -0.029
  272.694	-1741.925	  313.505	    0.027	   17.184	    0.000	    0.000	    0.000	   -0.000	   -0.000	    0.000
  293.217	-1741.925	  313.505	   -0.020	   20.523	    0.000	    0.000	   -0.047	   -0.000	   -0.000	   -2.271
  312.525	-1741.942	  314.897	    0.003	   19.308	   -0.016	    1.392	    0.023	   -1.392	  -72.104	    1.206
  333.322	-1741.925	  313.505	   -0.020	   20.797	    0.016	   -1.392	   -0.023	    1.392	   66.942	   -1.120
  354.461	-1741.925	  313.505	   -0.020	   21.139	    0.000	    0.000	    0.000	   -0.000	   -0.000	    0.000
  371.186	-1741.925	  313.505	   -0.020	   16.725	    0.000	    0.000	    0.000	   -0.000	   -0.000	    0.000
  391.645	-1741.925	  313.505	   -0.020	   20.459	    0.000	    0.000	    0.000	   -0.000	   -0.000	    0.000
  412.827	-1741.925	  313.505	    0.027	   21.182	    0.000	    0.000	    0.047	   -0.000	   -0.000	    2.200
  431.418	-1741.925	  313.505	    0.027	   18.591	    0.000	    0.000	    0.000	   -0.000	   -0.000	    0.000
  454.640	-1741.925	  313.505	   -0.020	   23.222	    0.000	    0.000	   -0.047	   -0.000	   -0.000	   -2.007
  472.372	-1741.925	  313.505	   -0.020	   17.732	    0.000	    0.000	    0.000	   -0.000	   -0.000	    0.000
  496.016	-1741.925	  313.505	   -0.020	   23.644	    0.000	    0.000	    0.000	   -0.000	   -0.000	    0.000
  513.863	-1741.925	  313.505	   -0.020	   17.847	    0.000	    0.000	    0.000	   -0.000	   -0.000	    0.000
  533.857	-1741.925	  313.505	   -0.020	   19.994	    0.000	    0.000	    0.000	   -0.000	   -0.000	    0.000
  552.795	-1741.925	  313.505	    0.027	   18.938	    0.000	    0.000	    0.047	   -0.000	   -0.000	    2.461
  571.414	-1741.925	  313.505	    0.027	   18.619	    0.000	    0.000	    0.000	   -0.000	   -0.000	    0.000
  591.446	-1741.925	  313.505	    0.027	   20.032	    0.000	    0.000	    0.000	   -0.000	   -0.000	    0.000
  611.809	-1741.925	  313.505	    0.027	   20.363	    0.000	    0.000	    0.000	   -0.000	   -0.000	    0.000
  634.075	-1741.925	  313.505	   -0.020	   22.266	    0.000	    0.000	   -0.047	   -0.000	   -0.000	   -2.093
  651.727	-1741.925	  313.505	   -0.020	   17.652	    0.000	    0.000	    0.000	   -0.000	   -0.000	    0.000
  671.751	-1741.925	  313.505	   -0.020	   20.024	    0.000	    0.000	    0.000	   -0.000	   -0.000	    0.000
  691.793	-1741.925	  313.505	   -0.020	   20.042	    0.000	    0.000	    0.000	   -0.000	   -0.000	    0.000
  713.107	-1741.925	  313.505	    0.027	   21.314	    0.000	    0.000	    0.047	   -0.000	   -0.000	    2.186
  734.448	-1741.925	  313.505	    0.027	   21.341	    0.000	    0.000	    0.000	   -0.000	   -0.000	    0.000
  751.808	-1741.925	  313.505	    0.027	   17.360	    0.000	    0.000	    0.000	   -0.000	   -0.000	    0.000
  771.779	-1741.925	  313.505	    0.027	   19.971	    0.000	    0.000	    0.000	   -0.000	   -0.000	    0.000
  794.432	-1741.925	  313.505	   -0.020	   22.653	    0.000	    0.000	   -0.047	   -0.000	   -0.000	   -2.057
  815.193	-1741.925	  313.505	   -0.020	   20.761	    0.000	    0.000	    0.000	   -0.000	   -0.000	    0.000
  836.240	-1741.925	  313.505	   -0.020	   21.047	    0.000	    0.000	    0.000	   -0.000	   -0.000	    0.000
  854.333	-1740.535	  313.526	    0.027	   18.093	    1.390	    0.021	    0.047	    1.391	   76.856	    2.591
  874.475	-1741.925	  313.505	    0.027	   20.142	   -1.390	   -0.021	    0.000	   -1.391	  -69.036	    0.015
  894.288	-1741.925	  313.505	    0.027	   19.813	    0.000	    0.000	   -0.001	   -0.000	   -0.000	   -0.030
  915.544	-1741.925	  313.505	   -0.020	   21.256	    0.000	    0.000	   -0.047	   -0.000	   -0.000	   -2.192
  934.493	-1741.925	  313.505	   -0.020	   18.949	    0.000	    0.000	    0.000	   -0.000	   -0.000	    0.000
  956.416	-1741.925	  313.505	   -0.020	   21.923	    0.000	    0.000	    0.000	   -0.000	   -0.000	    0.000
  977.712	-1740.535	  313.526	   -0.021	   21.296	    1.390	    0.021	   -0.001	    1.391	   65.296	   -0.039
  997.804	-1741.925	  313.505	   -0.020	   20.092	   -1.390	   -0.021	    0.001	   -1.391	  -69.209	    0.041
 1018.538	-1741.925	  313.505	    0.027	   20.734	    0.000	    0.000	    0.047	   -0.000	   -0.000	    2.247
 1034.541	-1741.925	  313.505	    0.027	   16.003	    0.000	    0.000	    0.000	   -0.000	   -0.000	    0.000
 1054.650	-1741.925	  313.505	    0.027	   20.109	    0.000	    0.000	    0.000	   -0.000	   -0.000	    0.000
 1075.167	-1741.925	  313.505	    0.027	   20.517	    0.000	    0.000	    0.001	   -0.000	   -0.000	    0.029
 1094.867	-1741.925	  313.505	   -0.020	   19.700	    0.000	    0.000	   -0.047	   -0.000	   -0.000	   -2.395
 1116.217	-1741.925	  313.505	    0.027	   21.350	    0.000	    0.000	    0.047	   -0.000	   -0.000	    2.210
 1134.602	-1741.925	  313.505	    0.027	   18.385	    0.000	    0.000	    0.000	   -0.000	   -0.000	    0.000
 1156.663	-1740.535	  313.526	    0.027	   22.061	    1.390	    0.021	   -0.000	    1.391	   63.032	   -0.014
 1176.080	-1741.925	  313.505	    0.027	   19.417	   -1.390	   -0.021	   -0.000	   -1.391	  -71.614	   -0.014
 1195.699	-1741.925	  313.505	    0.027	   19.619	    0.000	    0.000	    0.000	   -0.000	   -0.000	    0.000
 1214.587	-1741.925	  313.505	    0.027	   18.888	    0.000	    0.000	    0.000	   -0.000	   -0.000	    0.000
 1235.601	-1740.535	  313.526	   -0.021	   21.014	    1.390	    0.021	   -0.047	    1.391	   66.172	   -2.257
 1255.191	-1740.535	  313.526	    0.027	   19.590	    0.000	    0.000	    0.048	   -0.000	   -0.000	    2.435
 1280.644	-1741.925	  313.505	    0.027	   25.453	   -1.390	   -0.021	   -0.000	   -1.391	  -54.632	   -0.011
 1301.475	-1741.925	  313.505	    0.027	   20.831	    0.000	    0.000	    0.000	   -0.000	   -0.000	    0.000
 1313.418	-1741.925	  313.505	    0.027	   11.943	    0.000	    0.000	    0.000	   -0.000	   -0.000	    0.000
 1333.451	-1741.925	  313.505	    0.027	   20.033	    0.000	    0.000	    0.000	   -0.000	   -0.000	    0.000
 1356.780	-1741.925	  313.505	    0.027	   23.329	    0.000	    0.000	    0.000	   -0.000	   -0.000	    0.000
 1376.755	-1740.535	  313.526	   -0.021	   19.975	    1.390	    0.021	   -0.047	    1.391	   69.614	   -2.374
 1396.104	-1740.535	  313.526	   -0.021	   19.349	    0.000	    0.000	    0.000	   -0.000	   -0.000	    0.000
 1413.271	-1740.535	  313.526	   -0.021	   17.167	    0.000	    0.000	    0.000	   -0.000	   -0.000	    0.000
 1433.717	-1740.535	  313.526	   -0.021	   20.446	    0.000	    0.000	    0.000	   -0.000	   -0.000	    0.000
 1461.085	-1713.335	  302.794	    1.933	   27.368	   27.200	  -10.732	    1.954	   29.241	 1068.421	   71.379
 1481.421	-1713.335	  302.794	    1.933	   20.336	    0.000	    0.000	    0.000	   -0.000	   -0.000	    0.000
 1493.491	-1713.335	  302.794	    1.933	   12.070	    0.000	    0.000	    0.000	   -0.000	   -0.000	    0.000
 1513.307	-1713.335	  302.794	    1.933	   19.816	    0.000	    0.000	    0.000	   -0.000	   -0.000	    0.000
 1535.817	-1741.925	  313.505	    0.519	   22.510	  -28.590	   10.711	   -1.413	  -30.531	-1356.339	  -62.794
 1553.328	-1741.925	  313.505	    0.519	   17.511	    0.000	    0.000	    0.000	   -0.000	   -0.000	    0.000
 1578.001	-1740.535	  313.526	    0.028	   24.673	    1.390	    0.021	   -0.492	    1.391	   56.359	  -19.929
 1594.544	-1740.535	  313.526	    0.028	   16.543	    0.000	    0.000	    0.000	   -0.000	   -0.000	    0.000
 1615.455	-1740.535	  313.526	   -0.021	   20.911	    0.000	    0.000	   -0.048	   -0.000	   -0.000	   -2.311
 1635.557	-1741.925	  313.505	    0.027	   20.102	   -1.390	   -0.021	    0.048	   -1.391	  -69.174	    2.389
 1655.795	-1741.925	  313.505	    0.027	   20.238	    0.000	    0.000	    0.000	   -0.000	   -0.000	    0.000
 1673.511	-1741.925	  313.505	    0.027	   17.716	    0.000	    0.000	    0.000	   -0.000	   -0.000	    0.000
 1694.684	-1741.925	  313.505	   -0.020	   21.173	    0.000	    0.000	   -0.047	   -0.000	   -0.000	   -2.229
 1715.251	-1741.925	  313.505	   -0.020	   20.567	    0.000	    0.000	    0.000	   -0.000	   -0.000	    0.000
