     Time	    Pos x	    Pos y	    Angle	Diff Time	Diff Posx	Diff Posy	Diff Angl	Diff Long	Rel Speed	Rel AnSpd	
     0.00	 -1347.21	  -539.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00
    20.44	 -1348.62	  -537.61	    -0.02	    20.44	    -1.41	     1.39	    -0.02	     1.98	   -96.87	    -0.98
   100.53	 -1347.19	  -539.70	     0.01	    80.09	     1.43	    -2.09	     0.03	     2.53	    31.62	     0.37
   120.74	 -1347.22	  -538.29	    -0.01	    20.21	    -0.03	     1.41	    -0.02	     1.41	   -69.78	    -0.99
   158.50	 -1347.18	  -540.41	     0.03	    37.76	     0.04	    -2.12	     0.04	     2.12	   -56.15	     1.06
   178.63	 -1340.92	  -540.32	     0.03	    20.13	     6.26	     0.09	     0.00	     6.26	   311.01	     0.00
   200.09	 -1338.84	  -540.28	     0.03	    21.46	     2.08	     0.04	     0.00	     2.08	    96.94	     0.00
   238.58	 -1332.59	  -539.49	     0.01	    38.49	     6.25	     0.79	    -0.02	     6.30	   163.67	    -0.52
   259.16	 -1324.95	  -538.67	     0.00	    20.58	     7.64	     0.82	    -0.01	     7.68	   373.37	    -0.49
   301.06	 -1319.39	  -538.59	     0.03	    41.90	     5.56	     0.08	     0.03	     5.56	   132.71	     0.72
   358.58	 -1291.57	  -538.90	     0.06	    57.52	    27.82	    -0.31	     0.03	    27.82	   483.69	     0.52
   380.81	 -1280.47	  -537.33	     0.06	    22.23	    11.10	     1.57	     0.00	    11.21	   504.30	     0.00
   480.10	 -1264.40	  -542.73	     0.14	    99.29	    16.07	    -5.40	     0.08	    16.95	   170.74	     0.81
   580.64	 -1188.07	  -535.99	     0.14	   100.54	    76.33	     6.74	     0.00	    76.63	   762.15	     0.00
   619.93	 -1174.96	  -530.86	     0.10	    39.29	    13.11	     5.13	    -0.04	    14.08	   358.31	    -1.02
   678.61	 -1149.99	  -528.38	     0.11	    58.68	    24.97	     2.48	     0.01	    25.09	   427.62	     0.17
   778.72	 -1096.46	  -530.42	     0.26	   100.11	    53.53	    -2.04	     0.15	    53.57	   535.10	     1.50
   798.60	 -1085.48	  -522.50	     0.12	    19.88	    10.98	     7.92	    -0.14	    13.54	   681.00	    -7.04
   819.09	 -1072.21	  -525.83	     0.22	    20.49	    13.27	    -3.33	     0.10	    13.68	   667.71	     4.88
   861.07	 -1059.84	  -517.89	     0.10	    41.98	    12.37	     7.94	    -0.12	    14.70	   350.14	    -2.86
   878.76	 -1047.22	  -524.05	     0.25	    17.69	    12.62	    -6.16	     0.15	    14.04	   793.85	     8.48
   900.05	 -1033.37	  -521.02	     0.20	    21.29	    13.85	     3.03	    -0.05	    14.18	   665.93	    -2.35
