   File Name		  sp_left		 sp_right		Avg Speed		AvgAngSpd
29_05_2017_2		   160.00		   160.00		    83.80		     0.02
29_05_2017_3		   160.00		   160.00		   115.99		    -0.02
29_05_2017_4		   160.00		   160.00		   100.10		     0.05
29_05_2017_5		   160.00		   160.00		   113.27		     0.36
29_05_2017_6		   160.00		   160.00		   120.14		     0.03
29_05_2017_7		   160.00		   170.00		   129.77		     0.04
29_05_2017_8		   160.00		   170.00		   177.62		     0.03
29_05_2017_9		   160.00		   170.00		   189.79		    -0.02
29_05_2017_10		   160.00		   170.00		    24.88		    -0.08
29_05_2017_11		   160.00		   170.00		   178.75		     0.05
29_05_2017_12		   160.00		   180.00		   205.85		     0.18
29_05_2017_13		   160.00		   180.00		   206.54		     0.06
29_05_2017_14		   160.00		   180.00		   204.14		     0.16
29_05_2017_15		   160.00		   200.00		    78.01		     0.39
29_05_2017_16		   160.00		   200.00		   210.38		     0.30
29_05_2017_17		   160.00		   200.00		   201.24		     0.41
29_05_2017_18		   160.00		   200.00		   227.10		     0.04
29_05_2017_19		   160.00		   200.00		   243.98		     0.33
29_05_2017_20		   160.00		   200.00		   197.11		     0.45
29_05_2017_21		   160.00		   200.00		   211.54		     0.41
29_05_2017_22		   160.00		   220.00		    86.14		     0.50
29_05_2017_23		   160.00		   220.00		   -89.38		    -0.26
29_05_2017_24		   160.00		   220.00		    62.22		     0.72
29_05_2017_25		   160.00		   220.00		   194.61		     0.57
29_05_2017_26		   160.00		   220.00		   134.31		     0.59
29_05_2017_27   	   160.00		   220.00		   174.03		     0.79
31_05_2017_28		   160.00		   160.00		    75.94		     0.03
31_05_2017_29		   160.00		   160.00		    70.12		     0.01
31_05_2017_30		   160.00		   160.00		    32.64		    -0.03
31_05_2017_31		   160.00		   160.00		   -23.97		    -0.10
31_05_2017_32		   160.00		   160.00		   -22.23		     0.45
31_05_2017_33		   160.00		   160.00		    37.89		    -0.06
31_05_2017_34		   160.00		   170.00		    43.52		     0.08
31_05_2017_35		   160.00		   170.00		    74.70		     0.06
31_05_2017_36		   160.00		   180.00		   185.29		     0.11
31_05_2017_37		   160.00		   180.00		   159.01		     0.13
31_05_2017_38		   160.00		   180.00		   168.93		     0.13
31_05_2017_39		   160.00		   180.00		  -129.40		     0.20
31_05_2017_40		   160.00		   180.00		   -41.56		    -0.09
31_05_2017_41		   160.00		   180.00		  -115.27		     0.50
31_05_2017_42		   160.00		   180.00		   135.11		     0.11
31_05_2017_43		   160.00		   180.00		   179.38		     0.10
31_05_2017_44		   160.00		   180.00		     2.31		     0.40
