       File Name		  sp_left		 sp_right		Avg Speed		AvgAngSpd
RW05_06_2017_203		   160.00		   170.00		   -52.03		     0.50
RW05_06_2017_205		   160.00		   170.00		   116.79		     0.35
RW05_06_2017_206		   160.00		   180.00		   178.64		    -0.22
RW05_06_2017_207		   160.00		   180.00		   187.89		    -0.05
RW05_06_2017_208		   160.00		   180.00		   196.03		    -0.22
RW05_06_2017_209		   160.00		   200.00		   213.53		     1.01
RW05_06_2017_210		   160.00		   200.00		   155.43		    -0.70
RW05_06_2017_211		   160.00		   200.00		   135.73		     0.85
RW05_06_2017_212		   160.00		   200.00		   190.24		    -0.75
RW05_06_2017_213		   160.00		   200.00		   237.18		     0.71
RW05_06_2017_214		   160.00		   160.00		   116.35		     0.12
RW05_06_2017_215		   160.00		   200.00		   207.68		     0.07
RW05_06_2017_216		   160.00		   200.00		   222.74		     0.41
RW05_06_2017_217		   160.00		   220.00		   126.05		     2.52
RW05_06_2017_218		   160.00		   220.00		  -683.51		    15.76
RW05_06_2017_219		   160.00		   220.00		   253.79		     0.92
RW05_06_2017_220		   160.00		   220.00		   135.56		    -0.56
RW05_06_2017_221		   160.00		   220.00		   163.78		     1.14
RW05_06_2017_222		   160.00		   220.00		     1.08		     1.43
RW05_06_2017_223		   160.00		   160.00		   112.96		    -0.19
RW05_06_2017_224		   160.00		   160.00		    82.30		     0.24
RW05_06_2017_225		   160.00		   160.00		    76.18		     1.02
RW05_06_2017_226		   160.00		   160.00		     8.05		    -0.34
RW05_06_2017_227		   160.00		   170.00		   124.88		    -0.77
RW05_06_2017_228		   160.00		   170.00		   174.34		     0.59
RW05_06_2017_229		   160.00		   170.00		   166.43		    -0.68
RW05_06_2017_230		   185.00		   255.00		   354.16		     0.56
RW05_06_2017_231		  9999.00		  9999.00		   -73.88		    -2.28
RW05_06_2017_232		   185.00		   255.00		   281.84		     1.32
RW05_06_2017_233		   185.00		   255.00		   293.31		     0.42
RW05_06_2017_234		   210.00		   160.00		   223.99		     0.27
RW05_06_2017_235		   160.00		   210.00		   303.56		     0.19
RW05_06_2017_236		  9999.00		  9999.00		     0.00		     0.00
RW05_06_2017_237		   210.00		   160.00		   178.62		    -1.09
RW05_06_2017_238		   210.00		   160.00		   247.20		     0.22
RW05_06_2017_239		  9999.00		  9999.00		  -801.60		     8.27
RW05_06_2017_240		   210.00		   160.00		   182.20		    -0.04
RW05_06_2017_241		   160.00		   210.00		   208.10		     1.34
RW05_06_2017_242		   210.00		   160.00		   193.79		    -0.58
RW05_06_2017_243		   210.00		   185.00		   318.34		    -0.13
RW05_06_2017_244		   210.00		   185.00		   324.04		     0.05
RW05_06_2017_245		   210.00		   185.00		   242.19		    -0.09
RW05_06_2017_246		   210.00		   185.00		   226.53		    -0.05
RW05_06_2017_247		   210.00		   185.00		   265.93		    -0.65
RW05_06_2017_248		   210.00		   185.00		   216.32		     1.69
RW05_06_2017_249		   210.00		   185.00		   134.20		    -1.93
