     Time	    Pos x	    Pos y	    Angle	Diff Time	Diff Posx	Diff Posy	Diff Angl	Diff Leng	Rel Speed	Rel AnSpd	
     0.00	 -1348.57	  -540.43	     0.03	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00
    40.00	 -1348.60	  -539.02	     0.00	    40.00	    -0.02	     1.41	    -0.02	     1.41	   -35.26	    -0.56
    60.13	 -1348.62	  -537.61	    -0.04	    20.13	    -0.02	     1.41	    -0.04	     1.41	   -70.03	    -2.16
    81.42	 -1348.60	  -539.02	     0.00	    21.29	     0.02	    -1.41	     0.04	     1.41	    66.22	     2.04
   102.26	 -1348.59	  -539.72	     0.01	    20.85	     0.01	    -0.71	     0.01	     0.71	    33.84	     0.55
   121.48	 -1347.21	  -539.00	     0.05	    19.22	     1.38	     0.73	     0.04	     1.56	    81.15	     1.93
   161.44	 -1347.23	  -537.59	     0.00	    39.96	    -0.02	     1.41	    -0.05	     1.41	   -35.28	    -1.21
   181.80	 -1344.45	  -537.55	     0.03	    20.36	     2.78	     0.04	     0.02	     2.78	   136.69	     1.13
   240.68	 -1336.10	  -537.43	     0.03	    58.88	     8.35	     0.12	    -0.00	     8.35	   141.75	    -0.01
   260.64	 -1330.51	  -538.75	     0.05	    19.96	     5.59	    -1.33	     0.02	     5.74	   287.70	     1.21
   281.90	 -1324.94	  -539.38	     0.04	    21.26	     5.57	    -0.62	    -0.01	     5.61	   263.78	    -0.60
   302.08	 -1319.39	  -538.59	     0.05	    20.17	     5.55	     0.79	     0.01	     5.61	   277.90	     0.60
   340.55	 -1315.23	  -537.83	     0.04	    38.47	     4.16	     0.77	    -0.01	     4.23	   109.94	    -0.31
   360.56	 -1308.27	  -538.43	     0.05	    20.01	     6.96	    -0.60	     0.01	     6.99	   349.23	     0.64
   546.57	 -1254.01	  -540.47	     0.19	   186.01	    54.26	    -2.03	     0.14	    54.29	   291.90	     0.75
   608.84	 -1236.73	  -534.58	     0.12	    62.27	    17.28	     5.89	    -0.07	    18.25	   293.10	    -1.13
   648.38	 -1220.74	  -535.05	     0.15	    39.53	    15.99	    -0.47	     0.03	    16.00	   404.64	     0.83
   668.29	 -1210.98	  -537.02	     0.21	    19.92	     9.76	    -1.97	     0.06	     9.96	   499.97	     2.82
   688.45	 -1202.71	  -533.38	     0.17	    20.16	     8.28	     3.65	    -0.03	     9.04	   448.65	    -1.66
   708.61	 -1194.40	  -531.85	     0.17	    20.16	     8.31	     1.53	    -0.00	     8.45	   419.29	    -0.17
   748.21	 -1186.12	  -528.20	     0.14	    39.60	     8.28	     3.65	    -0.04	     9.04	   228.34	    -0.90
   769.33	 -1174.97	  -530.15	     0.22	    21.12	    11.15	    -1.95	     0.09	    11.32	   535.97	     4.20
   789.34	 -1166.56	  -534.26	     0.28	    20.01	     8.41	    -4.11	     0.06	     9.36	   467.55	     2.75
   809.65	 -1156.30	  -524.95	     0.17	    20.31	    10.26	     9.32	    -0.11	    13.86	   682.48	    -5.44
   848.65	 -1149.36	  -524.84	     0.16	    39.00	     6.95	     0.10	    -0.01	     6.95	   178.10	    -0.26
   870.10	 -1137.54	  -525.38	     0.23	    21.45	    11.82	    -0.53	     0.07	    11.83	   551.63	     3.27
   889.34	 -1128.52	  -524.54	     0.23	    19.24	     9.02	     0.84	     0.00	     9.06	   470.74	     0.21
   910.46	 -1118.88	  -519.46	     0.21	    21.12	     9.64	     5.08	    -0.02	    10.90	   515.77	    -1.18
