     time	    pos x	    pos y	    angle	 difftime	 diffposx	 diffposy	 diffangl	 difflong	 relspeed	
    0.000	    0.000	-1233.670	   -0.028	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000
   18.157	   18.150	-1233.670	   -0.028	   18.157	   18.150	    0.000	    0.000	   18.150	  999.615
   39.374	   39.370	-1242.660	   -0.001	   21.217	   21.220	   -8.990	    0.027	   23.046	 1086.194
   57.793	   57.790	-1233.670	   -0.028	   18.419	   18.420	    8.990	   -0.027	   20.497	 1112.804
   79.440	   79.430	-1233.680	   -0.028	   21.647	   21.640	   -0.010	    0.000	   21.640	  999.677
  100.333	  100.330	-1233.690	   -0.028	   20.893	   20.900	   -0.010	    0.000	   20.900	 1000.335
  118.678	  118.670	-1233.690	   -0.028	   18.345	   18.340	    0.000	    0.000	   18.340	  999.727
  138.323	  138.320	-1233.670	   -0.028	   19.645	   19.650	    0.020	    0.000	   19.650	 1000.255
  160.041	  160.040	-1233.700	   -0.028	   21.718	   21.720	   -0.030	    0.000	   21.720	 1000.093
  180.413	  180.410	-1233.670	   -0.028	   20.372	   20.370	    0.030	    0.000	   20.370	  999.903
  200.706	  200.700	-1242.660	   -0.001	   20.293	   20.290	   -8.990	    0.027	   22.192	 1093.600
  218.514	  218.510	-1242.660	   -0.001	   17.808	   17.810	    0.000	    0.000	   17.810	 1000.112
  240.412	  240.410	-1233.670	   -0.029	   21.898	   21.900	    8.990	   -0.028	   23.673	 1081.077
  261.271	  261.270	-1233.660	   -0.028	   20.859	   20.860	    0.010	    0.001	   20.860	 1000.048
  281.361	  281.360	-1233.660	   -0.028	   20.090	   20.090	    0.000	    0.000	   20.090	 1000.000
  296.822	  296.820	-1233.660	   -0.028	   15.461	   15.460	    0.000	    0.000	   15.460	  999.937
  317.403	  317.400	-1233.660	   -0.028	   20.581	   20.580	    0.000	    0.000	   20.580	  999.950
  341.124	  341.120	-1233.690	   -0.028	   23.721	   23.720	   -0.030	    0.000	   23.720	  999.960
  361.452	  361.450	-1233.670	   -0.028	   20.328	   20.330	    0.020	    0.000	   20.330	 1000.100
  381.750	  381.750	-1233.700	   -0.028	   20.298	   20.300	   -0.030	    0.000	   20.300	 1000.099
  398.345	  398.340	-1233.700	   -0.028	   16.595	   16.590	    0.000	    0.000	   16.590	  999.698
  418.528	  418.520	-1242.660	   -0.001	   20.183	   20.180	   -8.960	    0.027	   22.080	 1093.977
  440.765	  440.760	-1233.720	   -0.027	   22.237	   22.240	    8.940	   -0.026	   23.970	 1077.917
  461.316	  461.310	-1233.700	   -0.027	   20.551	   20.550	    0.020	    0.000	   20.550	  999.951
  480.402	  480.400	-1233.670	   -0.028	   19.086	   19.090	    0.030	   -0.001	   19.090	 1000.211
  498.472	  498.470	-1233.670	   -0.028	   18.070	   18.070	    0.000	    0.000	   18.070	 1000.000
  520.538	  520.530	-1233.710	   -0.027	   22.066	   22.060	   -0.040	    0.001	   22.060	  999.731
  539.835	  539.830	-1233.670	   -0.028	   19.297	   19.300	    0.040	   -0.001	   19.300	 1000.157
  560.517	  560.510	-1242.660	   -0.001	   20.682	   20.680	   -8.990	    0.027	   22.550	 1090.298
  578.565	  578.560	-1242.660	   -0.001	   18.048	   18.050	    0.000	    0.000	   18.050	 1000.112
  598.429	  598.420	-1233.670	   -0.028	   19.864	   19.860	    8.990	   -0.027	   21.800	 1097.461
  621.018	  621.010	-1233.700	   -0.028	   22.589	   22.590	   -0.030	    0.000	   22.590	 1000.047
  641.170	  641.170	-1242.660	   -0.001	   20.152	   20.160	   -8.960	    0.027	   22.061	 1094.754
  660.059	  660.050	-1233.670	   -0.028	   18.889	   18.880	    8.990	   -0.027	   20.911	 1107.050
  678.546	  678.540	-1233.670	   -0.028	   18.487	   18.490	    0.000	    0.000	   18.490	 1000.162
  700.557	  700.550	-1233.670	   -0.028	   22.011	   22.010	    0.000	    0.000	   22.010	  999.956
  719.694	  719.690	-1233.670	   -0.028	   19.137	   19.140	    0.000	    0.000	   19.140	 1000.156
  737.688	  737.680	-1233.670	   -0.028	   17.994	   17.990	    0.000	    0.000	   17.990	  999.780
  760.928	  760.920	-1233.660	   -0.028	   23.240	   23.240	    0.010	    0.000	   23.240	 1000.000
  778.729	  778.720	-1233.660	   -0.028	   17.801	   17.800	    0.000	    0.000	   17.800	  999.942
  798.610	  798.610	-1235.040	   -0.024	   19.881	   19.890	   -1.380	    0.004	   19.938	 1002.859
  819.288	  819.280	-1233.710	   -0.027	   20.678	   20.670	    1.330	   -0.003	   20.713	 1001.681
  840.073	  840.070	-1233.710	   -0.027	   20.785	   20.790	    0.000	    0.000	   20.790	 1000.241
  857.122	  857.120	-1233.710	   -0.027	   17.049	   17.050	    0.000	    0.000	   17.050	 1000.057
  877.107	  877.100	-1233.710	   -0.027	   19.985	   19.980	    0.000	    0.000	   19.980	  999.750
  897.161	  897.160	-1233.710	   -0.027	   20.054	   20.060	    0.000	    0.000	   20.060	 1000.298
  923.237	  923.230	-1233.700	   -0.028	   26.076	   26.070	    0.010	   -0.001	   26.070	  999.771
  937.597	  937.590	-1233.700	   -0.028	   14.360	   14.360	    0.000	    0.000	   14.360	 1000.004
  958.621	  958.620	-1233.700	   -0.028	   21.024	   21.030	    0.000	    0.000	   21.030	 1000.282
  978.839	  978.830	-1242.660	   -0.001	   20.218	   20.210	   -8.960	    0.027	   22.107	 1093.444
  998.760	  998.760	-1242.660	   -0.001	   19.921	   19.930	    0.000	    0.000	   19.930	 1000.450
 1018.998	 1018.990	-1235.000	   -0.026	   20.238	   20.230	    7.660	   -0.025	   21.632	 1068.861
 1038.706	 1038.700	-1235.000	   -0.026	   19.708	   19.710	    0.000	    0.000	   19.710	 1000.099
 1058.761	 1058.760	-1233.700	   -0.027	   20.055	   20.060	    1.300	   -0.001	   20.102	 1002.354
 1080.046	 1080.040	-1233.670	   -0.028	   21.285	   21.280	    0.030	   -0.001	   21.280	  999.766
 1101.016	 1101.010	-1242.660	   -0.001	   20.970	   20.970	   -8.990	    0.027	   22.816	 1088.021
 1121.150	 1121.150	-1233.710	   -0.027	   20.134	   20.140	    8.950	   -0.026	   22.039	 1094.622
 1139.498	 1139.490	-1233.710	   -0.027	   18.348	   18.340	    0.000	    0.000	   18.340	  999.561
 1158.037	 1158.030	-1233.710	   -0.027	   18.539	   18.540	    0.000	    0.000	   18.540	 1000.059
 1178.010	 1178.010	-1233.710	   -0.027	   19.973	   19.980	    0.000	    0.000	   19.980	 1000.348
 1200.994	 1200.990	-1233.660	   -0.028	   22.984	   22.980	    0.050	   -0.001	   22.980	  999.827
 1220.981	 1220.980	-1233.660	   -0.028	   19.987	   19.990	    0.000	    0.000	   19.990	 1000.153
 1238.021	 1238.020	-1233.660	   -0.028	   17.040	   17.040	    0.000	    0.000	   17.040	 1000.000
 1259.680	 1259.680	-1233.700	   -0.028	   21.659	   21.660	   -0.040	    0.000	   21.660	 1000.047
 1280.164	 1280.160	-1233.670	   -0.028	   20.484	   20.480	    0.030	    0.000	   20.480	  999.804
 1300.614	 1300.610	-1233.680	   -0.028	   20.450	   20.450	   -0.010	    0.000	   20.450	 1000.000
 1321.187	 1321.180	-1233.660	   -0.029	   20.573	   20.570	    0.020	   -0.001	   20.570	  999.858
 1339.594	 1339.590	-1233.660	   -0.029	   18.407	   18.410	    0.000	    0.000	   18.410	 1000.159
 1359.592	 1359.590	-1233.670	   -0.028	   19.998	   20.000	   -0.010	    0.001	   20.000	 1000.098
 1379.650	 1379.650	-1233.670	   -0.028	   20.058	   20.060	    0.000	    0.000	   20.060	 1000.103
 1403.805	 1403.800	-1233.670	   -0.028	   24.155	   24.150	    0.000	    0.000	   24.150	  999.793
 1420.036	 1420.030	-1233.670	   -0.028	   16.231	   16.230	    0.000	    0.000	   16.230	  999.940
 1438.410	 1438.410	-1233.670	   -0.028	   18.374	   18.380	    0.000	    0.000	   18.380	 1000.326
 1458.671	 1458.670	-1233.670	   -0.028	   20.261	   20.260	    0.000	    0.000	   20.260	  999.952
 1478.838	 1478.830	-1233.670	   -0.028	   20.167	   20.160	    0.000	    0.000	   20.160	  999.649
 1502.106	 1502.100	-1233.650	   -0.028	   23.268	   23.270	    0.020	    0.000	   23.270	 1000.090
 1519.618	 1519.610	-1233.650	   -0.028	   17.512	   17.510	    0.000	    0.000	   17.510	  999.881
 1538.213	 1538.210	-1233.650	   -0.028	   18.595	   18.600	    0.000	    0.000	   18.600	 1000.269
 1558.346	 1558.340	-1233.650	   -0.028	   20.133	   20.130	    0.000	    0.000	   20.130	  999.854
 1578.874	 1578.870	-1233.650	   -0.028	   20.528	   20.530	    0.000	    0.000	   20.530	 1000.095
 1598.887	 1598.880	-1233.650	   -0.028	   20.013	   20.010	    0.000	    0.000	   20.010	  999.854
 1620.419	 1620.410	-1233.720	   -0.027	   21.532	   21.530	   -0.070	    0.001	   21.530	  999.915
 1638.865	 1638.860	-1233.720	   -0.027	   18.446	   18.450	    0.000	    0.000	   18.450	 1000.212
 1660.402	 1660.400	-1233.680	   -0.028	   21.537	   21.540	    0.040	   -0.001	   21.540	 1000.143
 1682.152	 1682.150	-1233.680	   -0.028	   21.750	   21.750	    0.000	    0.000	   21.750	 1000.000
 1698.864	 1698.860	-1233.680	   -0.028	   16.712	   16.710	    0.000	    0.000	   16.710	  999.876
 1718.960	 1718.960	-1233.680	   -0.028	   20.096	   20.100	    0.000	    0.000	   20.100	 1000.200
 1741.000	 1741.000	-1233.690	   -0.028	   22.040	   22.040	   -0.010	    0.000	   22.040	 1000.000
 1761.334	 1761.330	-1233.660	   -0.028	   20.334	   20.330	    0.030	    0.000	   20.330	  999.803
