    Time	   Pos x	   Pos y	   Angle	Diff Time	Diff Posx	Diff Posy	Diff Angl	Diff Long	Rel Speed	Rel AnSpd	
    0.00	-1739.14	  313.55	    0.03	    0.00	    0.00	    0.00	    0.00	    0.00	    0.00	    0.00
   20.11	-1737.75	  313.57	    0.03	   20.11	    1.39	    0.02	    0.00	    1.39	   69.13	    0.00
   39.47	-1736.36	  313.59	    0.03	   19.36	    1.39	    0.02	    0.00	    1.39	   71.80	    0.00
   60.33	-1736.36	  313.59	    0.03	   20.86	    0.00	    0.00	    0.00	   -0.00	   -0.00	    0.00
   79.83	-1736.36	  313.59	    0.03	   19.50	    0.00	    0.00	    0.00	   -0.00	   -0.00	    0.00
   99.40	-1736.36	  313.59	    0.03	   19.57	    0.00	    0.00	    0.00	   -0.00	   -0.00	    0.00
  120.09	-1728.04	  315.11	    0.05	   20.69	    8.32	    1.52	    0.02	    8.46	  408.78	    0.97
  140.18	-1728.04	  315.11	    0.05	   20.09	    0.00	    0.00	    0.00	   -0.00	   -0.00	    0.00
  161.38	-1728.04	  315.11	    0.05	   21.20	    0.00	    0.00	    0.00	   -0.00	   -0.00	    0.00
  181.16	-1728.04	  315.11	    0.05	   19.78	    0.00	    0.00	    0.00	   -0.00	   -0.00	    0.00
  201.96	-1687.02	  307.37	    2.32	   20.80	   41.02	   -7.74	    2.27	   41.74	 2006.92	  109.13
  220.28	-1714.13	  313.23	    0.18	   18.32	  -27.11	    5.86	   -2.14	  -27.74	-1513.98	 -116.81
  240.25	-1711.38	  316.06	    0.13	   19.97	    2.75	    2.83	   -0.05	    3.95	  197.60	   -2.50
  260.46	-1705.76	  310.58	    0.22	   20.21	    5.62	   -5.48	    0.09	    7.85	  388.40	    4.45
  281.63	-1705.76	  310.58	    0.22	   21.17	    0.00	    0.00	    0.00	   -0.00	   -0.00	    0.00
  301.38	-1703.06	  316.88	    0.12	   19.75	    2.70	    6.30	   -0.10	    6.85	  347.05	   -5.06
  321.79	-1697.45	  312.09	    0.25	   20.41	    5.61	   -4.79	    0.13	    7.38	  361.43	    6.37
  342.47	-1693.37	  319.11	    0.13	   20.68	    4.08	    7.02	   -0.12	    8.12	  392.63	   -5.80
  362.72	-1687.84	  319.89	    0.17	   20.25	    5.53	    0.78	    0.04	    5.58	  275.79	    1.98
  383.74	-1682.26	  317.89	    0.20	   21.02	    5.58	   -2.00	    0.03	    5.93	  282.00	    1.43
  402.85	-1682.26	  317.89	    0.20	   19.11	    0.00	    0.00	    0.00	   -0.00	   -0.00	    0.00
  422.73	-1676.69	  315.18	    0.29	   19.88	    5.57	   -2.71	    0.09	    6.19	  311.58	    4.53
  443.22	-1672.61	  322.20	    0.18	   20.49	    4.08	    7.02	   -0.11	    8.12	  396.27	   -5.37
  463.10	-1668.42	  319.48	    0.27	   19.88	    4.19	   -2.72	    0.09	    5.00	  251.28	    4.53
  483.14	-1662.90	  320.95	    0.31	   20.04	    5.52	    1.47	    0.04	    5.71	  285.05	    2.00
  503.29	-1662.90	  320.95	    0.31	   20.15	    0.00	    0.00	    0.00	   -0.00	   -0.00	    0.00
  523.88	-1662.90	  320.95	    0.31	   20.59	    0.00	    0.00	    0.00	   -0.00	   -0.00	    0.00
  544.59	-1650.45	  322.52	    0.32	   20.71	   12.45	    1.57	    0.01	   12.55	  605.92	    0.48
  566.97	-1647.75	  328.12	    0.28	   22.38	    2.70	    5.60	   -0.04	    6.22	  277.79	   -1.79
  586.29	-1642.23	  329.59	    0.25	   19.32	    5.52	    1.47	   -0.03	    5.71	  295.67	   -1.55
  605.11	-1642.23	  329.59	    0.25	   18.82	    0.00	    0.00	    0.00	   -0.00	   -0.00	    0.00
  624.22	-1605.60	  329.39	    2.56	   19.11	   36.63	   -0.20	    2.31	   36.63	 1916.83	  120.88
