     Time	    Pos x	    Pos y	    Angle	Diff Time	Diff Posx	Diff Posy	Diff Angl	Diff Long	Rel Speed	Rel AnSpd	
     0.00	 -1347.14	  -543.23	     0.03	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00
    20.62	 -1346.47	  -541.81	     0.00	    20.62	     0.67	     1.42	    -0.02	     1.57	    76.20	    -1.12
    40.98	 -1346.47	  -541.81	     0.00	    20.36	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00
    59.09	 -1346.47	  -541.81	     0.00	    18.11	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00
    79.15	 -1346.47	  -541.81	     0.00	    20.07	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00
   100.99	 -1333.92	  -543.03	    -0.48	    21.83	    12.54	    -1.23	    -0.49	    12.60	   577.24	   -22.25
   120.93	 -1333.92	  -543.03	    -0.48	    19.95	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00
   142.66	 -1321.41	  -542.85	     0.03	    21.72	    12.52	     0.18	     0.51	    12.52	   576.21	    23.43
   160.24	 -1321.41	  -542.85	     0.03	    17.58	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00
   181.34	 -1316.54	  -542.78	     0.03	    21.11	     4.87	     0.07	    -0.00	     4.87	   230.65	    -0.02
   201.51	 -1316.54	  -542.78	     0.03	    20.17	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00
   220.32	 -1316.54	  -542.78	     0.03	    18.81	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00
   241.74	 -1302.64	  -542.58	     0.03	    21.43	    13.90	     0.20	     0.00	    13.91	   649.04	     0.00
   260.53	 -1295.65	  -544.60	     0.11	    18.78	     6.99	    -2.01	     0.08	     7.27	   387.13	     4.30
   281.24	 -1295.65	  -544.60	     0.11	    20.71	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00
   302.05	 -1285.95	  -542.34	     0.08	    20.81	     9.70	     2.26	    -0.03	     9.95	   478.33	    -1.45
   320.70	 -1285.95	  -542.34	     0.08	    18.64	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00
   340.54	 -1267.78	  -548.42	     0.17	    19.85	    18.17	    -6.08	     0.10	    19.16	   965.72	     4.95
   361.45	 -1259.55	  -541.96	     0.05	    20.91	     8.23	     6.46	    -0.13	    10.47	   500.61	    -6.07
   380.47	 -1259.55	  -541.96	     0.05	    19.02	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00
   401.77	 -1240.09	  -541.68	     0.09	    21.29	    19.45	     0.28	     0.05	    19.46	   913.73	     2.15
   423.11	 -1240.09	  -541.68	     0.09	    21.34	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00
   441.85	 -1230.40	  -539.42	     0.08	    18.75	     9.69	     2.26	    -0.01	     9.95	   530.74	    -0.60
   461.88	 -1220.66	  -539.98	     0.10	    20.02	     9.74	    -0.56	     0.01	     9.75	   487.15	     0.65
   482.52	 -1210.96	  -538.43	     0.12	    20.64	     9.70	     1.55	     0.02	     9.82	   476.01	     1.11
   503.23	 -1198.33	  -546.00	     0.25	    20.71	    12.63	    -7.57	     0.13	    14.73	   711.12	     6.46
   523.48	 -1198.33	  -546.00	     0.25	    20.25	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00
   541.52	 -1198.33	  -546.00	     0.25	    18.03	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00
   561.91	 -1178.93	  -542.90	     0.25	    20.39	    19.40	     3.10	     0.00	    19.65	   963.58	     0.00
   582.88	 -1167.89	  -537.81	     0.14	    20.97	    11.03	     5.10	    -0.11	    12.15	   579.38	    -5.29
   603.34	 -1167.89	  -537.81	     0.14	    20.46	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00
   621.47	 -1167.89	  -537.81	     0.14	    18.14	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00
   641.78	 -1167.89	  -537.81	     0.14	    20.31	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00
   662.36	 -1135.88	  -540.87	     0.25	    20.58	    32.01	    -3.06	     0.11	    32.16	  1562.37	     5.14
   683.51	 -1127.64	  -535.10	     0.19	    21.15	     8.24	     5.76	    -0.05	    10.05	   475.45	    -2.52
   702.98	 -1115.88	  -532.11	     0.20	    19.47	    11.76	     2.99	     0.00	    12.14	   623.37	     0.10
   721.88	 -1115.88	  -532.11	     0.20	    18.90	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00
   741.85	 -1105.51	  -529.14	     0.18	    19.97	    10.37	     2.97	    -0.02	    10.79	   540.13	    -0.84
