     Time	    Pos x	    Pos y	    Angle	Diff Time	Diff Posx	Diff Posy	Diff Angl	Diff Long	Rel Speed	Rel AnSpd	
     0.00	 -1721.77	  -544.34	     0.05	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00
    18.22	 -1721.79	  -542.93	     0.03	    18.22	    -0.02	     1.41	    -0.02	     1.41	    77.40	    -1.10
    38.20	 -1718.96	  -544.30	     0.05	    19.98	     2.83	    -1.37	     0.02	     3.14	   157.37	     1.00
    98.33	 -1716.15	  -544.26	     0.10	    60.13	     2.81	     0.04	     0.05	     2.81	    46.74	     0.83
   118.24	 -1714.74	  -544.24	     0.05	    19.91	     1.41	     0.02	    -0.05	     1.41	    70.83	    -2.51
   138.28	 -1711.13	  -550.55	     0.16	    20.04	     3.61	    -6.31	     0.11	     7.27	   362.76	     5.49
   180.09	 -1710.52	  -544.18	     0.05	    41.81	     0.61	     6.37	    -0.11	     6.40	   153.05	    -2.63
   198.19	 -1707.71	  -544.14	     0.05	    18.10	     2.81	     0.04	     0.00	     2.81	   155.26	     0.00
   218.20	 -1704.90	  -544.10	     0.05	    20.01	     2.81	     0.04	     0.00	     2.81	   140.44	     0.00
   238.40	 -1702.09	  -544.06	     0.05	    20.20	     2.81	     0.04	     0.00	     2.81	   139.12	     0.00
   280.39	 -1699.27	  -544.02	     0.05	    41.99	     2.82	     0.04	     0.00	     2.82	    67.17	     0.00
   298.61	 -1696.46	  -543.98	     0.05	    18.22	     2.81	     0.04	     0.00	     2.81	   154.24	     0.00
   318.57	 -1693.65	  -543.94	     0.05	    19.96	     2.81	     0.04	     0.00	     2.81	   140.80	     0.00
   338.98	 -1709.76	  -548.41	     0.18	    20.41	   -16.11	    -4.47	     0.13	    16.72	  -819.14	     6.37
   359.81	 -1688.03	  -543.86	     0.03	    20.83	    21.73	     4.55	    -0.15	    22.20	  1065.83	    -7.20
   399.34	 -1653.83	  -531.37	    -2.29	    39.53	    34.20	    12.49	    -2.32	    36.41	  -921.06	   -58.69
   419.12	 -1681.01	  -543.77	     0.05	    19.78	   -27.18	   -12.40	     2.34	    29.87	 -1510.36	   118.30
   439.45	 -1700.63	  -548.28	     0.09	    20.33	   -19.62	    -4.51	     0.04	    20.13	  -990.24	     1.97
   478.80	 -1673.99	  -543.67	     0.05	    39.35	    26.64	     4.61	    -0.04	    27.04	   687.06	    -1.02
   498.69	 -1671.19	  -542.92	     0.04	    19.89	     2.80	     0.75	    -0.01	     2.90	   145.74	    -0.50
   519.01	 -1690.79	  -548.14	     0.09	    20.32	   -19.60	    -5.22	     0.05	    20.28	  -998.19	     2.46
   562.38	 -1659.96	  -543.47	     0.05	    43.37	    30.83	     4.67	    -0.04	    31.18	   718.97	    -0.92
   661.66	 -1648.75	  -541.90	     0.05	    99.28	    11.21	     1.57	     0.00	    11.32	   114.01	     0.00
   750.69	 -1637.52	  -543.15	     0.10	    89.03	    11.23	    -1.25	     0.05	    11.30	   126.92	     0.56
   780.35	 -1629.13	  -541.62	     0.08	    29.66	     8.39	     1.53	    -0.02	     8.53	   287.54	    -0.67
   801.94	 -1626.32	  -541.58	     0.07	    21.59	     2.81	     0.04	    -0.01	     2.81	   130.17	    -0.46
   821.95	 -1622.12	  -541.52	     0.05	    20.01	     4.20	     0.06	    -0.02	     4.20	   209.92	    -1.00
   842.38	 -1617.92	  -541.46	     0.07	    20.43	     4.20	     0.06	     0.02	     4.20	   205.60	     0.98
   921.96	 -1629.05	  -547.26	     0.13	    79.58	   -11.13	    -5.80	     0.06	    12.55	  -157.71	     0.75
   960.50	 -1602.44	  -546.18	     0.21	    38.54	    26.61	     1.08	     0.08	    26.63	   691.02	     2.08
   980.64	 -1598.33	  -539.77	     0.10	    20.14	     4.11	     6.41	    -0.11	     7.61	   378.08	    -5.46
