     Time	    Pos x	    Pos y	    Angle	Diff Time	Diff Posx	Diff Posy	Diff Angl	Diff Leng	Rel Speed	Rel AnSpd	
     0.00	 -1347.16	  -541.81	     0.03	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00
    20.32	 -1361.72	  -544.84	     0.06	    20.32	   -14.56	    -3.03	     0.03	    14.87	  -731.89	     1.48
    42.31	 -1347.18	  -540.41	     0.00	    21.99	    14.54	     4.43	    -0.06	    15.20	   691.22	    -2.73
    62.22	 -1348.57	  -540.43	     0.00	    19.91	    -1.39	    -0.02	     0.00	     1.39	   -69.82	     0.00
   142.46	 -1347.18	  -540.41	     0.03	    80.24	     1.39	     0.02	     0.03	     1.39	    17.32	     0.37
   242.12	 -1336.77	  -538.84	     0.05	    99.66	    10.41	     1.57	     0.02	    10.53	   105.64	     0.20
   280.03	 -1330.51	  -538.75	     0.10	    37.91	     6.26	     0.09	     0.05	     6.26	   165.14	     1.32
   301.31	 -1324.89	  -542.20	     0.21	    21.28	     5.62	    -3.45	     0.11	     6.59	   309.89	     5.17
   321.34	 -1320.10	  -537.90	     0.13	    20.03	     4.79	     4.30	    -0.08	     6.44	   321.36	    -3.99
   380.10	 -1306.89	  -537.71	     0.20	    58.76	    13.21	     0.19	     0.07	    13.21	   224.84	     1.19
   401.26	 -1298.54	  -537.59	     0.24	    21.16	     8.35	     0.12	     0.04	     8.35	   394.65	     1.89
   442.72	 -1281.89	  -535.94	     0.31	    41.46	    16.65	     1.65	     0.07	    16.73	   403.56	     1.69
   480.07	 -1275.03	  -530.20	     0.29	    37.35	     6.86	     5.74	    -0.02	     8.94	   239.48	    -0.54
   501.24	 -1265.23	  -534.28	     0.40	    21.17	     9.80	    -4.08	     0.11	    10.62	   501.44	     5.20
   541.88	 -1248.67	  -526.99	     0.38	    40.64	    16.56	     7.29	    -0.02	    18.09	   445.22	    -0.49
   580.57	 -1240.45	  -519.83	     0.33	    38.69	     8.22	     7.16	    -0.05	    10.90	   281.75	    -1.29
   600.64	 -1232.14	  -518.30	     0.36	    20.07	     8.31	     1.53	     0.03	     8.45	   421.01	     1.49
   621.30	 -1221.05	  -516.72	     0.42	    20.66	    11.09	     1.58	     0.06	    11.20	   542.21	     2.90
   641.76	 -1212.71	  -516.60	     0.48	    20.46	     8.34	     0.12	     0.06	     8.34	   407.67	     2.93
   680.37	 -1203.84	  -507.31	     0.44	    38.61	     8.87	     9.29	    -0.04	    12.84	   332.67	    -1.04
   701.05	 -1194.85	  -505.06	     0.50	    20.68	     8.99	     2.25	     0.06	     9.27	   448.13	     2.90
   721.39	 -1183.76	  -503.49	     0.56	    20.34	    11.09	     1.57	     0.06	    11.20	   550.67	     2.95
   760.38	 -1176.91	  -497.75	     0.52	    38.99	     6.85	     5.74	    -0.04	     8.94	   229.21	    -1.03
   781.31	 -1168.69	  -490.58	     0.52	    20.93	     8.22	     7.17	     0.00	    10.91	   521.15	     0.00
   801.49	 -1159.04	  -486.21	     0.54	    20.18	     9.65	     4.37	     0.02	    10.59	   524.94	     0.99
   822.67	 -1152.17	  -481.88	     0.52	    21.18	     6.87	     4.33	    -0.02	     8.12	   383.41	    -0.94
   861.79	 -1141.13	  -477.48	     0.59	    39.12	    11.04	     4.40	     0.07	    11.88	   303.80	     1.79
   881.95	 -1134.29	  -471.74	     0.55	    20.16	     6.84	     5.74	    -0.04	     8.93	   442.92	    -1.98
   902.14	 -1124.64	  -467.37	     0.62	    20.19	     9.65	     4.37	     0.07	    10.59	   524.68	     3.47
   922.09	 -1114.96	  -464.41	     0.64	    19.95	     9.68	     2.96	     0.02	    10.12	   507.39	     1.00
   962.70	 -1106.77	  -455.82	     0.62	    40.61	     8.19	     8.59	    -0.02	    11.87	   292.26	    -0.49
   983.01	 -1099.94	  -449.37	     0.61	    20.31	     6.83	     6.45	    -0.01	     9.39	   462.54	    -0.49
  1003.02	 -1089.61	  -444.28	     0.65	    20.01	    10.33	     5.09	     0.04	    11.52	   575.51	     2.00
  1024.34	 -1083.45	  -438.55	     0.65	    21.32	     6.16	     5.73	     0.00	     8.41	   394.61	     0.00
  1063.24	 -1072.46	  -431.33	     0.68	    38.90	    10.99	     7.22	     0.03	    13.15	   338.03	     0.77
  1083.32	 -1064.91	  -426.28	     0.70	    20.08	     7.55	     5.05	     0.02	     9.08	   452.35	     1.00
  1103.98	 -1057.38	  -419.82	     0.73	    20.66	     7.53	     6.46	     0.03	     9.92	   480.22	     1.45
  1164.60	 -1040.95	  -405.46	     0.73	    60.62	    16.43	    14.36	     0.00	    21.82	   359.96	     0.00
  1185.58	 -1032.04	  -398.26	     0.75	    20.98	     8.91	     7.20	     0.02	    11.46	   546.02	     0.95
  1206.25	 -1024.49	  -393.21	     0.77	    20.67	     7.55	     5.05	     0.02	     9.08	   439.44	     0.97
  1244.61	 -1016.28	  -385.32	     0.79	    38.36	     8.21	     7.89	     0.02	    11.39	   296.84	     0.52
  1265.14	 -1008.76	  -378.14	     0.80	    20.53	     7.52	     7.18	     0.01	    10.40	   506.44	     0.49
  1285.25	 -1001.26	  -369.56	     0.79	    20.11	     7.50	     8.58	    -0.01	    11.40	   566.68	    -0.50
  1305.17	  -994.42	  -363.09	     0.82	    19.92	     6.84	     6.47	     0.03	     9.42	   472.65	     1.51
  1344.96	  -984.83	  -355.18	     0.84	    39.79	     9.59	     7.91	     0.02	    12.43	   312.42	     0.50
  1365.97	  -977.97	  -349.42	     0.90	    21.01	     6.86	     5.76	     0.06	     8.96	   426.35	     2.86
  1386.19	  -971.22	  -338.01	     0.86	    20.22	     6.75	    11.41	    -0.04	    13.26	   655.64	    -1.98
  1425.00	  -964.39	  -330.84	     0.86	    38.81	     6.83	     7.17	     0.00	     9.90	   255.15	     0.00
  1445.28	  -956.18	  -322.93	     0.90	    20.28	     8.21	     7.91	     0.04	    11.40	   562.16	     1.97
  1465.88	  -950.74	  -315.78	     0.93	    20.60	     5.44	     7.15	     0.03	     8.98	   436.13	     1.46
  1485.84	  -943.92	  -307.90	     0.91	    19.96	     6.82	     7.88	    -0.02	    10.42	   522.12	    -1.00
  1524.94	  -939.17	  -300.75	     0.93	    39.10	     4.75	     7.15	     0.02	     8.58	   219.54	     0.51
  1545.40	  -934.37	  -296.43	     0.92	    20.46	     4.80	     4.32	    -0.01	     6.46	   315.63	    -0.49
  1565.60	  -928.93	  -289.27	     0.94	    20.20	     5.44	     7.16	     0.02	     8.99	   445.16	     0.99
  1586.81	  -923.46	  -283.52	     0.98	    21.21	     5.47	     5.75	     0.04	     7.94	   374.17	     1.89
  1625.84	  -920.80	  -276.41	     0.93	    39.03	     2.66	     7.11	    -0.05	     7.59	   194.50	    -1.28
  1665.75	  -912.59	  -267.78	     0.99	    39.91	     8.21	     8.63	     0.06	    11.91	   298.46	     1.50
  1705.03	  -911.25	  -264.93	     0.97	    39.28	     1.34	     2.85	    -0.02	     3.15	    80.18	    -0.51
  1746.05	  -905.82	  -256.35	     0.97	    41.02	     5.43	     8.58	     0.00	    10.15	   247.53	     0.00
  1766.17	  -903.08	  -253.48	     0.99	    20.12	     2.74	     2.87	     0.02	     3.97	   197.21	     0.99
  1804.91	  -903.16	  -249.23	     0.95	    38.74	    -0.08	     4.25	    -0.04	     4.25	   109.73	    -1.03
  1824.98	  -900.40	  -247.77	     0.97	    20.07	     2.76	     1.46	     0.02	     3.12	   155.57	     1.00
  1845.16	  -897.66	  -244.89	     0.97	    20.18	     2.74	     2.88	     0.00	     3.98	   196.99	     0.00
  1866.85	  -896.29	  -243.45	     0.98	    21.69	     1.37	     1.44	     0.01	     1.99	    91.64	     0.46
  1926.44	  -885.04	  -208.56	    -0.57	    59.59	    11.25	    34.89	    -1.55	    36.66	  -615.19	   -26.01
  1946.39	  -893.60	  -237.74	     0.96	    19.95	    -8.56	   -29.18	     1.53	    30.41	 -1524.29	    76.69
  1985.13	  -892.23	  -236.31	     0.99	    38.74	     1.37	     1.43	     0.03	     1.98	    51.12	     0.77
  2005.12	  -892.23	  -236.31	     0.98	    19.99	     0.00	     0.00	    -0.01	     0.00	     0.00	    -0.50
  2025.10	  -892.23	  -236.31	     0.97	    19.98	     0.00	     0.00	    -0.01	     0.00	     0.00	    -0.50
  2045.35	  -890.87	  -234.87	     0.99	    20.25	     1.36	     1.44	     0.02	     1.98	    97.81	     0.99
