Avg Speed	AvgAngSpd	  sp_left	 sp_right	File Name
-5432.907	   39.608	       11	       11	26_05_2017_0134	
-5432.907	   39.608	        1	        1	26_05_2017_0135	
-5432.907	   39.608	        2	        2	26_05_2017_0135	
-5432.907	   39.608	       22	       33	26_05_2017_0136	
-5432.907	   39.608	        1	        1	26_05_2017_0150	
27972.130	  -22.210	      160	      200	26_05_2017_1700	
27972.130	  -22.210	      160	      200	26_05_2017_1704	
27972.130	  -22.210	      160	      200	26_05_2017_1706	
27972.130	  -22.210	      160	      200	26_05_2017_1707	
13918.130	    7.410	        0	        0	26_05_2017_1715	
 3634.480	  -23.300	        0	        0	26_05_2017_1755	
14378.770	   11.820	        0	        0	26_05_2017_1808	
 -543.980	   15.660	        2	        2	26_05_2017_1823	
23488.730	  -69.580	        2	        2	26_05_2017_1831	
27972.130	  -22.210	        2	        2	26_05_2017_1839	
27203.670	   36.840	        0	        0	27_05_2017_2036	
27203.670	   36.840	        0	        0	27_05_2017_2049	
27269.630	   37.800	        0	        0	27_05_2017_2051	
 -543.980	   15.660	        0	        0	27_05_2017_2114	
 -543.980	   15.660	        0	        0	27_05_2017_2116	
27269.630	   37.800	        0	        0	27_05_2017_2118	
  214.720	    0.300	        0	        0	27_05_2017_2127	
  214.720	    0.300	        0	        0	27_05_2017_2135	
  214.720	    0.300	        0	        0	27_05_2017_2148	
  214.720	    0.300	        0	        0	27_05_2017_2225	
  214.720	    0.300	        0	        0	27_05_2017_2231	
  214.720	    0.300	        0	        0	27_05_2017_2232	
  214.720	    0.300	        0	        0	27_05_2017_2237	
  214.720	    0.300	        0	        0	27_05_2017_2238	
  214.720	    0.300	        0	        0	27_05_2017_2240	
  214.720	    0.300	        0	        0	27_05_2017_2241	
  214.720	    0.300	        0	        0	27_05_2017_2343	
  214.720	    0.300	        0	        0	27_05_2017_2345	
  214.720	    0.300	        0	        0	27_05_2017_2348	
  214.720	    0.300	        0	        0	27_05_2017_2351	
  214.720	    0.300	        0	        0	28_05_2017_0005	
  214.720	    0.300	        0	        0	28_05_2017_0016	
  214.720	    0.300	        0	        0	28_05_2017_0019	
  214.720	    0.300	        0	        0	28_05_2017_0025	
  214.720	    0.300	        0	        0	28_05_2017_0027	
  214.720	    0.300	        0	        0	28_05_2017_0035	
  214.720	    0.300	        0	        0	28_05_2017_0041	
  214.720	    0.300	        0	        0	28_05_2017_0042	
  214.720	    0.300	        0	        0	28_05_2017_0045	
  214.720	    0.300	        0	        0	28_05_2017_0046	
  214.720	    0.300	        0	        0	28_05_2017_0048	
  214.720	    0.300	        0	        0	28_05_2017_0050	
  214.720	    0.300	        0	        0	28_05_2017_0050	
  214.720	    0.300	        0	        0	28_05_2017_0051	
  214.720	    0.300	        0	        0	28_05_2017_0138	
  214.720	    0.300	        0	        0	28_05_2017_0138	
  214.720	    0.300	        0	        0	28_05_2017_0139	
  214.720	    0.300	        0	        0	28_05_2017_0142	
  214.720	    0.300	        0	        0	28_05_2017_0145	
  214.720	    0.300	        0	        0	28_05_2017_0148	
  214.720	    0.300	        0	        0	28_05_2017_0155	
  214.720	    0.300	        0	        0	28_05_2017_0155	
  214.720	    0.300	        0	        0	28_05_2017_0159	
  214.720	    0.300	        0	        0	28_05_2017_0201	
  214.720	    0.300	        0	        0	28_05_2017_0203	
  214.720	    0.300	        0	        0	28_05_2017_1004	
  214.720	    0.300	        0	        0	28_05_2017_1023	
  214.720	    0.300	        0	        0	28_05_2017_1024	
  214.720	    0.300	        0	        0	28_05_2017_1030	
  214.720	    0.300	        0	        0	28_05_2017_1031	
  214.720	    0.300	        0	        0	28_05_2017_1031	
  214.720	    0.300	        0	        0	28_05_2017_1032	
  214.720	    0.300	        0	        0	28_05_2017_1041	
  214.720	    0.300	        0	        0	28_05_2017_1048	
  214.720	    0.300	        0	        0	28_05_2017_1050	
  214.720	    0.300	        0	        0	28_05_2017_1052	
  214.720	    0.300	        0	        0	28_05_2017_1107	
  214.720	    0.300	        0	        0	28_05_2017_1110	
   65.960	    0.960	        0	        0	28_05_2017_1115	
   65.960	    0.960	        0	        0	28_05_2017_1115	
   65.960	    0.960	        0	        0	28_05_2017_1116	
   65.960	    0.960	        0	        0	28_05_2017_1118	
   65.960	    0.960	        0	        0	28_05_2017_1118	
   65.960	    0.960	        0	        0	28_05_2017_1119	
   65.960	    0.960	        0	        0	28_05_2017_1120	
   65.960	    0.960	        0	        0	28_05_2017_1121	
   65.960	    0.960	        0	        0	28_05_2017_1126	
   65.960	    0.960	        0	        0	28_05_2017_1129	
   65.960	    0.960	        0	        0	28_05_2017_1130	
   65.960	    0.960	        0	        0	28_05_2017_1136	
   65.960	    0.960	        0	        0	28_05_2017_1232	
   65.960	    0.960	        0	        0	28_05_2017_1235	
   65.960	    0.960	        0	        0	28_05_2017_1236	
   65.960	    0.960	        0	        0	28_05_2017_1250	
   65.960	    0.960	        0	        0	28_05_2017_1254	
   65.960	    0.960	        0	        0	28_05_2017_1255	
   65.960	    0.960	        0	        0	28_05_2017_1256	
   65.960	    0.960	        0	        0	28_05_2017_1301	
   65.960	    0.960	        0	        0	28_05_2017_1303	
   65.960	    0.960	        0	        0	28_05_2017_1306	
   65.960	    0.960	        0	        0	28_05_2017_1309	
   65.960	    0.960	        0	        0	28_05_2017_1312	
   65.960	    0.960	        0	        0	28_05_2017_1326	
