       File Name		  sp_left		 sp_right		Avg Speed		AvgAngSpd
RW07_06_2017_202		   160.00		   170.00		     2.06		    -0.01
RW07_06_2017_203		   160.00		   170.00		   151.90		     0.05
RW07_06_2017_204		   160.00		   180.00		   184.19		     0.13
RW07_06_2017_205		   160.00		   180.00		   184.20		     0.13
RW07_06_2017_206		   160.00		   180.00		   184.35		     0.13
RW07_06_2017_207		   160.00		   200.00		   200.76		     0.40
RW07_06_2017_208		   160.00		   200.00		   203.21		     0.38
RW07_06_2017_209		   160.00		   200.00		   197.18		     0.39
RW07_06_2017_210		   160.00		   200.00		   210.68		     0.03
RW07_06_2017_211		   160.00		   200.00		   214.90		     0.34
RW07_06_2017_212		   160.00		   160.00		    88.02		     0.02
RW07_06_2017_213		   160.00		   200.00		   202.86		     0.42
RW07_06_2017_214		   160.00		   200.00		   205.31		     0.42
RW07_06_2017_215		   160.00		   220.00		   199.97		     0.57
RW07_06_2017_216		   160.00		   220.00		   133.46		    -0.24
RW07_06_2017_217		   160.00		   220.00		   222.59		     0.67
RW07_06_2017_218		   160.00		   220.00		   195.67		     0.61
RW07_06_2017_219		   160.00		   220.00		   217.62		     0.65
RW07_06_2017_220		   160.00		   220.00		   197.96		     0.62
RW07_06_2017_221		   160.00		   160.00		   104.18		    -0.01
RW07_06_2017_222		   160.00		   160.00		    99.34		     0.05
RW07_06_2017_223		   160.00		   160.00		   114.86		     0.02
RW07_06_2017_224		   160.00		   160.00		   112.30		     0.04
RW07_06_2017_225		   160.00		   170.00		   104.17		     0.03
RW07_06_2017_226		   160.00		   170.00		   152.61		     0.05
RW07_06_2017_227		   160.00		   170.00		   154.01		     0.06
RW07_06_2017_228		   185.00		   255.00		   293.64		     0.53
RW07_06_2017_229		  9999.00		  9999.00		    39.32		     0.18
RW07_06_2017_230		   185.00		   255.00		   268.86		     0.47
RW07_06_2017_231		   185.00		   255.00		   263.93		     0.49
RW07_06_2017_232		   210.00		   160.00		   232.40		    -0.30
RW07_06_2017_233		   160.00		   210.00		    20.58		     0.39
RW07_06_2017_234		  9999.00		  9999.00		      nan		      nan
RW07_06_2017_235		   210.00		   160.00		   200.02		    -0.35
RW07_06_2017_236		   210.00		   160.00		   245.01		    -0.37
RW07_06_2017_237		  9999.00		  9999.00		    64.75		     0.35
RW07_06_2017_238		   210.00		   160.00		   221.90		    -0.32
RW07_06_2017_239		   160.00		   210.00		   243.50		     1.26
RW07_06_2017_240		   210.00		   160.00		   236.48		    -0.32
RW07_06_2017_241		   210.00		   185.00		   317.29		    -0.06
RW07_06_2017_242		   210.00		   185.00		   316.14		    -0.05
RW07_06_2017_243		   210.00		   185.00		   222.30		    -0.06
RW07_06_2017_244		   210.00		   185.00		   229.70		    -0.02
RW07_06_2017_245		   210.00		   185.00		   276.06		    -0.05
RW07_06_2017_246		   210.00		   185.00		   256.00		    -0.06
RW07_06_2017_247		   210.00		   185.00		   194.53		    -1.10
RW07_06_2017_248		   210.00		   185.00		   255.95		    -0.02
RW07_06_2017_249		  9999.00		  9999.00		   151.58		     0.43
RW07_06_2017_250		   210.00		   210.00		   274.35		     0.06
RW07_06_2017_251		   210.00		   210.00		   224.92		     0.04
RW07_06_2017_252		   210.00		   210.00		   217.99		     0.06
RW07_06_2017_253		   210.00		   210.00		   290.19		     0.03
RW07_06_2017_254		   210.00		   210.00		   369.65		     0.04
RW07_06_2017_255		  9999.00		  9999.00		    22.79		     0.04
RW07_06_2017_256		   210.00		   210.00		   182.15		     0.04
RW07_06_2017_257		   210.00		   210.00		   232.96		     0.08
RW07_06_2017_258		   210.00		   235.00		   417.40		     0.16
RW07_06_2017_259		  9999.00		  9999.00		    53.44		     0.22
RW07_06_2017_260		  9999.00		  9999.00		   100.92		     0.02
RW07_06_2017_261		   210.00		   235.00		   319.11		     0.12
RW07_06_2017_262		   210.00		   235.00		   315.71		     0.14
RW07_06_2017_263		   210.00		   235.00		   311.57		     0.14
RW07_06_2017_264		   210.00		   235.00		   330.83		     0.10
RW07_06_2017_265		   210.00		   255.00		   240.60		     0.21
RW07_06_2017_266		   210.00		   255.00		   374.51		     0.30
RW07_06_2017_267		   210.00		   255.00		   294.00		     0.24
RW07_06_2017_268		   210.00		   255.00		   310.51		     0.22
RW07_06_2017_269		   210.00		   255.00		   307.80		     0.23
RW07_06_2017_270		   235.00		   160.00		   201.42		    -0.53
RW07_06_2017_271		   235.00		   160.00		   214.59		    -0.60
RW07_06_2017_272		   235.00		   160.00		   254.92		    -0.64
RW07_06_2017_273		   235.00		   160.00		   211.08		    -0.57
RW07_06_2017_274		   235.00		   170.00		   221.96		    -0.35
RW07_06_2017_275		   235.00		   160.00		   206.37		    -0.58
RW07_06_2017_276		   235.00		   160.00		   224.10		    -0.58
RW07_06_2017_277		   235.00		   160.00		   183.76		    -0.57
RW07_06_2017_278		   235.00		   160.00		   220.21		    -0.55
RW07_06_2017_279		   235.00		   160.00		   170.65		    -0.49
RW07_06_2017_280		   235.00		   160.00		   211.38		    -0.59
RW07_06_2017_281		   235.00		   160.00		   162.58		    -0.45
RW07_06_2017_282		   235.00		   185.00		   277.76		    -0.14
RW07_06_2017_283		   235.00		   185.00		   285.76		    -0.14
RW07_06_2017_284		   235.00		   185.00		   238.32		    -0.14
RW07_06_2017_285		   235.00		   185.00		   216.48		    -1.07
RW07_06_2017_286		   235.00		   185.00		   270.20		    -0.17
RW07_06_2017_287		   235.00		   210.00		   296.22		    -0.02
RW07_06_2017_288		   235.00		   210.00		   320.03		    -0.01
RW07_06_2017_289		   235.00		   210.00		   316.73		    -0.01
RW07_06_2017_290		  9999.00		  9999.00		   442.47		     0.56
RW07_06_2017_291		   235.00		   210.00		   328.61		    -0.02
RW07_06_2017_292		   235.00		   210.00		   280.31		    -0.03
RW07_06_2017_293		   235.00		   235.00		   253.91		     0.02
RW07_06_2017_294		   235.00		   235.00		   340.84		     0.06
RW07_06_2017_295		   235.00		   235.00		   364.83		     0.06
RW07_06_2017_296		   235.00		   235.00		   396.83		     0.09
RW07_06_2017_297		   235.00		   255.00		   321.82		    -0.77
RW07_06_2017_298		   235.00		   255.00		   377.91		     0.09
RW07_06_2017_299		   235.00		   255.00		   369.12		     0.09
RW07_06_2017_300		   235.00		   255.00		   262.16		     0.10
RW07_06_2017_301		   235.00		   255.00		   309.18		     0.11
RW07_06_2017_302		   235.00		   255.00		   361.25		     0.10
RW07_06_2017_303		   235.00		   255.00		   344.15		     0.14
RW07_06_2017_304		   235.00		   255.00		   159.08		     0.06
RW07_06_2017_305		   235.00		   255.00		   334.30		     0.15
RW07_06_2017_306		   235.00		   255.00		   327.28		     0.13
RW07_06_2017_307		   255.00		   160.00		   218.78		     0.42
RW07_06_2017_308		   255.00		   160.00		   181.21		    -0.72
RW07_06_2017_309		   255.00		   160.00		   227.50		    -0.91
RW07_06_2017_310		   255.00		   160.00		   223.21		     0.28
RW07_06_2017_311		   255.00		   160.00		   229.59		    -0.83
RW07_06_2017_312		   255.00		   160.00		   220.83		    -0.86
RW07_06_2017_313		   255.00		   160.00		   231.32		    -0.89
RW07_06_2017_314		   255.00		   160.00		   195.24		    -0.79
RW07_06_2017_315		   255.00		   160.00		   179.32		    -0.69
RW07_06_2017_316		   255.00		   160.00		   223.86		    -0.85
RW07_06_2017_317		   255.00		   185.00		   259.25		    -0.35
RW07_06_2017_318		   255.00		   185.00		   291.56		    -0.39
RW07_06_2017_319		   255.00		   185.00		   294.46		    -0.38
RW07_06_2017_320		   255.00		   210.00		   317.46		    -0.13
RW07_06_2017_321		   255.00		   210.00		   327.95		    -0.14
RW07_06_2017_322		   255.00		   210.00		   390.80		    -0.17
RW07_06_2017_323		   235.00		   255.00		    58.63		    -0.92
RW07_06_2017_324		   255.00		   235.00		   359.33		    -0.05
RW07_06_2017_325		   255.00		   235.00		   406.92		    -0.09
RW07_06_2017_326		   255.00		   235.00		   358.20		    -0.07
RW07_06_2017_327		   255.00		   255.00		   378.98		     0.03
RW07_06_2017_328		   255.00		   255.00		   421.92		    -0.01
RW07_06_2017_329		   255.00		   255.00		   478.81		    -0.03
RW07_06_2017_330		   160.00		   160.00		    92.22		     0.02
RW07_06_2017_331		   160.00		   160.00		    98.70		     0.01
RW07_06_2017_332		   160.00		   160.00		    87.33		     0.02
RW07_06_2017_333		   160.00		   160.00		    99.97		     0.00
RW07_06_2017_334		   160.00		   160.00		    99.18		     0.02
RW07_06_2017_335		   160.00		   160.00		   102.59		    -0.01
RW07_06_2017_336		   160.00		   170.00		   110.88		     0.07
RW07_06_2017_337		   160.00		   170.00		    96.77		     0.03
RW07_06_2017_338		   160.00		   180.00		   167.67		     0.11
RW07_06_2017_339		   160.00		   180.00		   165.21		     0.11
RW07_06_2017_340		   160.00		   180.00		   164.80		     0.11
RW07_06_2017_341		   160.00		   180.00		   147.91		     0.10
RW07_06_2017_342		   160.00		   180.00		   134.90		     0.06
RW07_06_2017_343		   160.00		   180.00		   165.18		     0.12
RW07_06_2017_344		   160.00		   180.00		   155.37		     0.11
RW07_06_2017_345		   160.00		   180.00		   145.26		     0.10
RW07_06_2017_346		   160.00		   180.00		   127.27		     0.07
RW07_06_2017_347		   160.00		   180.00		    81.47		     0.06
RW07_06_2017_348		   160.00		   200.00		   169.92		     0.36
RW07_06_2017_349		   160.00		   200.00		   193.82		     0.40
RW07_06_2017_350		   160.00		   200.00		   204.34		     0.42
RW07_06_2017_351		   160.00		   200.00		   191.12		     0.38
RW07_06_2017_352		   160.00		   200.00		   199.45		     0.44
RW07_06_2017_353		   160.00		   185.00		    32.32		    -0.04
RW07_06_2017_354		   160.00		   185.00		   160.52		     0.20
RW07_06_2017_355		   160.00		   185.00		   142.40		    -0.51
RW07_06_2017_356		   160.00		   185.00		   183.29		     0.22
RW07_06_2017_357		   160.00		   185.00		   160.04		     0.16
RW07_06_2017_358		  9999.00		  9999.00		   190.95		    -0.39
RW07_06_2017_359		   160.00		   185.00		   178.58		     0.21
RW07_06_2017_360		   160.00		   185.00		   159.44		     0.20
RW07_06_2017_361		   160.00		   185.00		   174.75		     0.22
RW07_06_2017_362		   160.00		   210.00		   227.87		     0.66
RW07_06_2017_363		   160.00		   210.00		     4.09		    -0.01
RW07_06_2017_364		   160.00		   210.00		   186.15		     0.51
RW07_06_2017_365		   160.00		   210.00		   221.60		     0.57
RW07_06_2017_366		   160.00		   210.00		   205.23		     0.54
RW07_06_2017_367		   160.00		   210.00		   170.40		     0.45
RW07_06_2017_368		   160.00		   210.00		   208.71		     0.59
RW07_06_2017_369		   160.00		   235.00		   213.37		     0.79
RW07_06_2017_370		   160.00		   235.00		   212.14		     0.75
RW07_06_2017_371		   160.00		   235.00		   228.24		     0.86
RW07_06_2017_372		  9999.00		  9999.00		   359.41		     0.16
RW07_06_2017_373		   160.00		   235.00		   248.46		    -0.01
RW07_06_2017_374		   160.00		   235.00		   237.95		     0.86
RW07_06_2017_375		   160.00		   235.00		   234.96		     0.87
RW07_06_2017_376		   160.00		   255.00		   109.91		    -0.58
RW07_06_2017_377		   160.00		   255.00		   222.88		     0.98
RW07_06_2017_378		   160.00		   255.00		   212.23		     1.02
RW07_06_2017_379		   160.00		   255.00		   168.94		     0.79
RW07_06_2017_380		   160.00		   255.00		   204.13		     0.98
RW07_06_2017_381		   185.00		   160.00		   185.90		    -0.07
RW07_06_2017_382		   185.00		   160.00		   201.30		    -0.08
RW07_06_2017_383		   185.00		   160.00		   164.24		    -0.08
RW07_06_2017_384		   185.00		   160.00		   203.56		    -0.09
RW07_06_2017_385		  9999.00		  9999.00		   108.14		    -0.00
RW07_06_2017_386		   185.00		   185.00		   279.89		     0.08
RW07_06_2017_387		  9999.00		  9999.00		   198.44		     0.02
RW07_06_2017_388		   185.00		   185.00		   260.34		     0.09
RW07_06_2017_389		   185.00		   185.00		   249.94		     0.06
RW07_06_2017_390		   185.00		   185.00		   240.14		     0.08
RW07_06_2017_391		   185.00		   210.00		   292.67		     0.19
RW07_06_2017_392		   185.00		   210.00		   277.92		     0.18
RW07_06_2017_393		   185.00		   210.00		   330.47		     0.22
RW07_06_2017_394		   185.00		   210.00		   269.35		     0.16
RW07_06_2017_395		   185.00		   210.00		   242.27		     0.17
RW07_06_2017_396		   185.00		   210.00		   322.42		     0.20
RW07_06_2017_397		   185.00		   235.00		   281.14		     0.34
RW07_06_2017_398		   185.00		   235.00		   283.31		     0.31
RW07_06_2017_399		   185.00		   235.00		   297.26		     0.31
RW07_06_2017_400		   185.00		   255.00		   260.13		     0.49
RW07_06_2017_401		   185.00		   255.00		   180.49		     0.34
